Dates,DRREDDY.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-04-25,4833.2998046875,22301.849609375,0.9623006727671342,364.0524975158378,4469.247307171662,,0.24873799383154,1.0,45022.298828125,450.22298828124997,236.65099609375,213.5719921875,126.0,1.5228000951091205,685.599609375,152.28000951091207,2083.80078125,-1398.201171875,23665.099609375,21357.19921875,1.0,4.0
2023-04-26,4845.10009765625,22310.69921875,0.978548264806596,370.005853583405,4475.094244072845,,0.2902274322706832,,,,,,,,,,,,,,,
2023-04-27,4918.5498046875,22147.349609375,1.1467571747118377,433.46840491504463,4485.081399772455,,0.2628450070236323,,,,,,,,,,,,,,,
2023-04-28,4929.85009765625,22297.25,1.1672769235722726,440.72173315428427,4489.128364501966,,0.264836975055302,,,,,,,,,,,,,,,
2023-05-02,4950.39990234375,22379.849609375,1.2081289902817245,456.08686027699696,4494.313042066753,,0.2609817407789121,,,,,,,,,,,,,,,
2023-05-03,4952.25,22567.25,1.2019703045213128,453.2601191391632,4498.989880860837,,0.1870198041996699,,,,,,,,,,,,,,,
2023-05-04,4968.0,22585.44921875,1.224656583774839,461.4356666093736,4506.564333390626,,0.206586929557509,Individual Breakup,,Lot DRREDDY.NS Y,Lot  ABBOTINDIA.NS X,Total Profit,Total Trade,,,,,,,,,
2023-05-05,4942.5,22650.80078125,1.141247914673743,429.4576078442879,4513.042392155712,,0.1849113622359093,Margin of ABBOTINDIA.NS X,Margin of DRREDDY.NS Y,1,1,685.599609375,1,,,,,,,,,
2023-05-08,4907.10009765625,22471.19921875,1.0278684555842106,385.7957926219906,4521.304305034259,,0.2228571769772542,1,1,,,,,,,,,,,,,
2023-05-09,4933.25,21929.30078125,1.0755507649667175,403.04579640863176,4530.204203591368,,0.1930734604548178,,,,,,,,,,,,,,,
2023-05-10,4867.2998046875,21391.0,0.8851904057297071,330.94164584363625,4536.358158843864,,0.139386057104411,,,,,,,,,,,,,,,
2023-05-11,4532.0,21236.400390625,-0.0162536718540343,-6.059781636923617,4538.059781636924,,0.1296154945724855,,,,,,,,,,,,,,,
2023-05-12,4466.10009765625,21229.400390625,-0.1959563609557497,-72.79921826429927,4538.899315920549,,0.0972395306096595,,,,,,,,,,,,,,,
2023-05-15,4518.5498046875,21228.0,-0.0581125378472652,-21.518022749951346,4540.067827437451,,0.1312639543824459,,,,,,,,,,,,,,,
2023-05-16,4515.0498046875,21194.19921875,-0.0710377998916561,-26.210470518463808,4541.260275205964,,0.1079545959715033,,,,,,,,,,,,,,,
2023-05-17,4481.5,21215.5,-0.165513046994478,-60.84437454349245,4542.344374543492,,0.0950481533165491,,,,,,,,,,,,,,,
2023-05-18,4423.10009765625,20970.55078125,-0.3252529451132252,-119.1907642371334,4542.290861893383,,0.1009057582483114,,,,,,,,,,,,,,,
2023-05-19,4391.9501953125,20898.44921875,-0.4120022780088839,-150.38007282243507,4542.330268134935,,0.1013687657315218,,,,,,,,,,,,,,,
2023-05-22,4457.64990234375,21373.099609375,-0.2425505389122741,-88.06012795967217,4545.710030303422,,0.1206921005965482,,,,,,,,,,,,,,,
2023-05-23,4460.5498046875,21508.099609375,-0.2418168791930765,-87.37891247012794,4547.928717157628,,0.0774586241271623,,,,,,,,,,,,,,,
2023-05-24,4519.25,21470.0,-0.0837570256739537,-30.13025812410251,4549.380258124103,,0.0748371114816392,,,,,,,,,,,,,,,
2023-05-25,4503.9501953125,21840.900390625,-0.1407330688680873,-50.40831604442064,4554.358511356921,,0.0707420523951501,,,,,,,,,,,,,,,
2023-05-26,4530.9501953125,21901.44921875,-0.0743433899938959,-26.486789541088,4557.436984853588,,0.07399282261717,,,,,,,,,,,,,,,
