Dates,SIEMENS.NS Y,ABB.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABB.NS X,Effective Margin of SIEMENS.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of SIEMENS.NS X,Effective Investment of SIEMENS.NS Y,Multiplier X,Multiplier Y
2023-05-18,3832.25,3897.5,2.027119588113207,255.57843451797496,3576.671565482025,1.0,0.0274231643541567,1.0,7729.75,77.2975,38.975,38.3225,2.0,5.540282674083897,428.25,554.0282674083896,-4.300048828125,432.550048828125,3897.5,3832.25,1.0,1.0
2023-05-19,3722.699951171875,3894.75,1.1505292166759369,145.10446653327972,3577.5954846385957,,0.0139000058865369,2.0,7440.249755859375,74.40249755859375,41.092998046875,33.30949951171875,34.0,0.392459287389907,29.199951171875,39.24592873899071,808.300048828125,-779.10009765625,4109.2998046875,3330.949951171875,1.0,1.0
2023-05-22,3399.699951171875,3893.199951171875,-1.3880128953933937,-175.22660765422006,3574.926558826095,0.0,0.0031336035118291,3.0,8642.75,86.4275,44.804501953125,41.622998046875,24.0,9.070604923563105,783.94970703125,907.0604923563104,1290.2998046875,-506.35009765625,4480.4501953125,4162.2998046875,1.0,1.0
2023-05-23,3410.60009765625,3912.75,-1.3957579750519122,-176.40224319479512,3587.002340851045,,0.0032912580642517,,,,,55.7685009765625,,,,,,,6429.85009765625,5576.85009765625,1.0,1.0
2023-05-24,3431.0,3891.64990234375,-1.1054162879778002,-139.8209315410013,3570.8209315410013,,0.0029148024779681,,,,,,,,,,,,,,,
2023-05-25,3487.25,3941.949951171875,-0.9321401834219992,-117.9075506152476,3605.157550615248,,0.0027574950099219,,,,,,,,,,,,,,,
2023-05-26,3519.39990234375,4004.75,-1.0160194515347585,-128.54017522565618,3647.940077569406,,0.003184602668711,,,,,,,,,,,,,,,
2023-05-29,3512.699951171875,4031.14990234375,-1.1978324439873136,-151.72963604357392,3664.429587215449,,0.0034472376751045,,,,,,,,,,,,,,,
2023-05-30,3559.699951171875,4029.60009765625,-0.8082255819726664,-102.43171712850744,3662.1316683003824,,0.0025112585099323,,,,,,,,,,,,,,,
2023-05-31,3551.64990234375,4125.89990234375,-1.387422191042755,-175.89334201139536,3727.543244355146,,0.0031878445587058,Individual Breakup,,Lot SIEMENS.NS Y,Lot  ABB.NS X,Total Profit,Total Trade,,,,,,,,,
2023-06-01,3534.300048828125,3944.64990234375,-0.5193551190711078,-65.89847367972743,3600.1985225078524,,0.002224839564212,Margin of ABB.NS X,Margin of SIEMENS.NS Y,1,-411.0498046875,1653.449462890625,3,,,,,,,,,
2023-06-02,3552.64990234375,4021.550048828125,-0.7926780175988073,-100.53260096172426,3653.182503305474,,0.0023885068768238,1,1,,,,,,,,,,,,,
2023-06-05,3522.0,4033.0,-1.0853903544917605,-137.73925386589144,3659.739253865891,,0.0029029473429107,,,,,,,,,,,,,,,
2023-06-06,3586.25,4057.64990234375,-0.7077768962302389,-89.82565603412377,3676.075656034124,,0.0023809069490255,,,,,,,,,,,,,,,
2023-06-07,3653.89990234375,4151.10009765625,-0.6836005166757332,-86.69867623828486,3740.598578582035,,0.0022184531095014,,,,,,,,,,,,,,,
2023-06-08,3659.449951171875,4112.2998046875,-0.4243099199640959,-53.805900597919845,3713.255851769795,,0.0023003429653084,,,,,,,,,,,,,,,
2023-06-09,3658.550048828125,4151.2001953125,-0.639380297574277,-81.0687385940646,3739.6187874221896,,0.0025673919581999,,,,,,,,,,,,,,,
2023-06-12,3658.39990234375,4151.4501953125,-0.6336385731606027,-80.37400104372045,3738.7739033874714,,0.0026876634156634,,,,,,,,,,,,,,,
2023-06-13,3734.39990234375,4319.7998046875,-0.9449338201777988,-119.80793635769442,3854.207838701445,,0.0030012192085653,,,,,,,,,,,,,,,
2023-06-14,3763.199951171875,4349.85009765625,-0.8656290385188122,-109.81736576809544,3873.0173169399695,,0.0029407429793607,,,,,,,,,,,,,,,
2023-06-15,3751.699951171875,4313.64990234375,-0.7425647478631748,-94.29467330189073,3845.9946244737657,,0.0028333581848385,,,,,,,,,,,,,,,
2023-06-16,3793.10009765625,4336.89990234375,-0.5328992361497406,-67.67901442990069,3860.779112086151,,0.0026046708008031,,,,,,,,,,,,,,,
2023-06-19,3807.699951171875,4327.64990234375,-0.3587454885154333,-45.56710915034091,3853.267060322216,,0.0024369970282144,,,,,,,,,,,,,,,
2023-06-20,3829.39990234375,4376.0,-0.4417407273568373,-56.08483547767628,3885.484737821426,,0.0024478826978335,,,,,,,,,,,,,,,
2023-06-21,3802.25,4366.4501953125,-0.5902184199466824,-74.94884731695811,3877.198847316958,,0.0024062340359188,,,,,,,,,,,,,,,
2023-06-22,3688.85009765625,4270.5,-0.9411324667458848,-119.64906964024658,3808.4991672964966,,0.0027505005974251,,,,,,,,,,,,,,,
2023-06-23,3675.699951171875,4239.7001953125,-0.8609672831358925,-109.51400439379904,3785.213955565674,,0.0026434271771214,,,,,,,,,,,,,,,
2023-06-26,3699.35009765625,4285.35009765625,-0.9054744040338536,-115.16752228713312,3814.517619943383,,0.0028373522749257,,,,,,,,,,,,,,,
2023-06-27,3706.199951171875,4294.5,-0.8845918845899602,-112.550895575092,3818.750846746967,,0.0029054546420206,,,,,,,,,,,,,,,
2023-06-28,3764.75,4411.10009765625,-1.034272773536739,-131.57984883463587,3896.329848834636,,0.0031713171226724,,,,,,,,,,,,,,,
2023-06-30,3766.449951171875,4423.0,-1.0636058830139916,-135.42218920593496,3901.87214037781,,0.003394808281147,,,,,,,,,,,,,,,
2023-07-03,3727.449951171875,4411.25,-1.2815255316580574,-163.43991420367092,3890.889865375546,,0.0039620263085941,,,,,,,,,,,,,,,
2023-07-04,3703.199951171875,4360.7001953125,-1.1790683247501863,-150.6384527117093,3853.838403883584,,0.0038004869370822,,,,,,,,,,,,,,,
2023-07-05,3710.0,4390.60009765625,-1.2620835175383924,-161.4538823744274,3871.4538823744274,,0.0042504359036468,,,,,,,,,,,,,,,
2023-07-06,3730.75,4400.14990234375,-1.1306263011717164,-144.82176894208806,3875.571768942088,,0.0039778571302493,,,,,,,,,,,,,,,
2023-07-07,3690.449951171875,4399.75,-1.4168460417498856,-181.84724474651148,3872.2971959183865,,0.0047816463261177,,,,,,,,,,,,,,,
2023-07-10,3647.449951171875,4369.64990234375,-1.5642063362273253,-201.29482661930703,3848.744777791182,,0.0050463004497695,,,,,,,,,,,,,,,
2023-07-11,3766.60009765625,4499.25,-1.2939174147188166,-166.5571661464578,3933.157263802708,,0.0040792674990301,,,,,,,,,,,,,,,
2023-07-12,3828.85009765625,4528.4501953125,-0.943424223115481,-121.43756405036174,3950.287661706612,,0.0039503928400687,,,,,,,,,,,,,,,
2023-07-13,3728.35009765625,4407.2998046875,-1.071112112617191,-138.13559864274384,3866.485696298994,,0.0041704993369198,,,,,,,,,,,,,,,
2023-07-14,3689.800048828125,4383.7998046875,-1.2261717404471562,-158.35755890300334,3848.157607731128,,0.004343437625499,,,,,,,,,,,,,,,
2023-07-17,3702.10009765625,4418.9501953125,-1.2900532632768429,-166.75817118642772,3868.8582688426777,,0.0043696805778023,,,,,,,,,,,,,,,
2023-07-18,3701.64990234375,4490.85009765625,-1.6336698544501806,-211.47990316643973,3913.1298055101897,,0.0062145428245841,,,,,,,,,,,,,,,
2023-07-19,3710.35009765625,4493.5,-1.5503398430304225,-201.1151696127372,3911.465267268987,,0.0061865203388682,,,,,,,,,,,,,,,
2023-07-20,3635.39990234375,4204.0,-0.6339730979851921,-82.40755090576522,3717.807453249515,,0.0035150861124464,,,,,,,,,,,,,,,
2023-07-21,3613.949951171875,4225.7998046875,-0.8974383257988513,-116.68702190670774,3730.636973078583,,0.0038088849558509,,,,,,,,,,,,,,,
2023-07-24,3694.89990234375,4322.0498046875,-0.7534518944649993,-97.91905360540432,3792.8189559491534,,0.0034104407056201,,,,,,,,,,,,,,,
2023-07-25,3692.75,4333.10009765625,-0.8125427758534003,-105.58592709172945,3798.3359270917294,,0.0037114276730032,,,,,,,,,,,,,,,
2023-07-26,3763.300048828125,4398.5,-0.5913536680158361,-76.80160799233954,3840.101656820465,,0.0033526302844945,,,,,,,,,,,,,,,
2023-07-27,3752.0,4400.10009765625,-0.6741780356344956,-87.54554405086901,3839.545544050869,,0.0037847885950318,,,,,,,,,,,,,,,
2023-07-28,3857.699951171875,4516.2001953125,-0.4405249390900252,-57.15871150516978,3914.858662677045,,0.0039085937038534,,,,,,,,,,,,,,,
2023-07-31,3983.0,4552.7998046875,0.3352396219857599,43.49518979206368,3939.504810207936,,0.0035820268368241,,,,,,,,,,,,,,,
2023-08-01,3890.949951171875,4519.64990234375,-0.2041193508660632,-26.49153964309471,3917.4414908149697,,0.0034077558893898,,,,,,,,,,,,,,,
2023-08-02,3819.0,4408.0,-0.1904637890224369,-24.738913881718872,3843.738913881719,,0.0033329379989045,,,,,,,,,,,,,,,
2023-08-03,3794.949951171875,4372.9501953125,-0.1973504400543263,-25.637847694700667,3820.587798866576,,0.0033453176092814,,,,,,,,,,,,,,,
2023-08-04,3776.0,4438.0498046875,-0.6665898904222376,-86.59641421927927,3862.5964142192793,,0.0036526079855907,,,,,,,,,,,,,,,
2023-08-07,3834.10009765625,4525.9501953125,-0.6571179600048112,-85.35694846909973,3919.4570461253497,,0.0030041927145162,,,,,,,,,,,,,,,
2023-08-08,3779.35009765625,4476.64990234375,-0.8243586282490997,-107.0572910960782,3886.407388752328,,0.0035206210740444,,,,,,,,,,,,,,,
2023-08-09,3732.10009765625,4520.9501953125,-1.397330798008746,-181.63656445265588,3913.736662108906,,0.0040808341829148,,,,,,,,,,,,,,,
2023-08-10,3668.449951171875,4505.10009765625,-1.785827358566482,-232.6089462640748,3901.05889743595,,0.0060541634951862,,,,,,,,,,,,,,,
2023-08-11,3652.75,4526.64990234375,-1.9876322581875367,-259.6795837662521,3912.429583766252,,0.0066054682753169,,,,,,,,,,,,,,,
2023-08-14,3602.60009765625,4354.7001953125,-1.4956736272901394,-195.7664556165205,3798.3665532727705,,0.0051396020720896,,,,,,,,,,,,,,,
