Dates,ALKEM.NS Y,AUROPHARMA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of AUROPHARMA.NS X,Effective Margin of ALKEM.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ALKEM.NS X,Effective Investment of ALKEM.NS Y,Multiplier X,Multiplier Y
06-01-2023,3031.350098,442.0499878,-0.821253815,-261.1686777,3292.518775,,0.513640849,1,7016.25,70.1625,34.65600098,35.50649902,27,3.403531701,238.800293,340.3531701,171.2001953,67.60009766,3465.600098,3550.649902,4.0,1.0
09-01-2023,3049.899902,441.5499878,-0.756707086,-240.738118,3290.63802,,0.511900128,2,8915.450134,89.15450134,46.82749939,42.32700195,21,-2.46537953,-219.7996826,-246.537953,437.0001221,-656.7998047,4682.749939,4232.700195,5.0,1.0
10-01-2023,3079.5,450.0,-0.653874139,-208.1214611,3287.621461,,0.504107767,,,,,,,,,,,,,,,
11-01-2023,3044.449951,447.5499878,-0.759290519,-241.7881604,3286.238112,,0.514728964,,,,,,,,,,,,,,,
12-01-2023,3061.300049,446.3500061,-0.701512654,-223.4765301,3284.776579,,0.497719736,,,,,,,,,,,,,,,
13-01-2023,3025.25,435.1499939,-0.81337755,-259.170383,3284.420383,,0.512484463,,,,,,,,,,,,,,,
16-01-2023,3039.699951,446.5,-0.756661208,-241.2300366,3280.929988,,0.513433884,,,,,,,,,,,,,,,
17-01-2023,3034.75,442.7999878,-0.767744117,-244.8575491,3279.607549,,0.513045124,Individual Breakup,,Lot ALKEM.NS Y,Lot  AUROPHARMA.NS X,Total Profit,Total Trade,,,,,,,,,
18-01-2023,3059.199951,444.0,-0.685325654,-218.6403669,3277.840318,,0.495056269,Margin of AUROPHARMA.NS X,Margin of ALKEM.NS Y,1,1,19.00061035,2,,,,,,,,,
19-01-2023,3033.149902,445.2000122,-0.760430493,-242.6732277,3275.82313,,0.524842109,1,1,,,,,,,,,,,,,
20-01-2023,3032.399902,444.7000122,-0.756873362,-241.6566998,3274.056602,,0.513420598,,,,,,,,,,,,,,,
23-01-2023,3046.300049,445.8500061,-0.707066898,-225.8154516,3272.1155,,0.508089516,,,,,,,,,,,,,,,
24-01-2023,3009.25,438.25,-0.818908392,-261.6107398,3270.86074,,0.507730389,,,,,,,,,,,,,,,
