Dates,BAJFINANCE.NS Y,BAJAJFINSV.NS X,Standard Residual,Residual,Y Predicted,Signal,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
21-03-2022,6870.399902,1618.079956,-0.728623978,-298.9426662,7169.342569,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2022,6985.799805,1649.459961,-0.730570767,-299.2983871,7285.098192,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2022,7004.799805,1640.734985,-0.600357912,-245.9181458,7250.717951,,,,,,,,,,,,,,,,,,,,,,,,
24-03-2022,6997.549805,1637.869995,-0.588205161,-240.880664,7238.430469,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2022,6973.5,1633.329956,-0.601897892,-246.505477,7220.005477,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2022,7001.399902,1651.89502,-0.69935626,-286.2723861,7287.672288,,,,,,,,,,,,,,,,,,,,,,,,
29-03-2022,7039.350098,1650.170044,-0.587150381,-239.8940239,7279.244122,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022,7251.850098,1712.890015,-0.636100373,-259.3225617,7511.172659,,,,,,,,,,,,,,,,,,,,,,,,
31-03-2022,7259.950195,1706.045044,-0.549017257,-223.4437475,7483.393943,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2022,7408.100098,1713.920044,-0.253659926,-103.0143048,7511.114402,,,,,,,,,,,,,,,,,,,,,,,,
04-04-2022,7490.649902,1719.63501,-0.099837367,-40.44412141,7531.094024,,,,,,,,,,,,,,,,,,,,,,,,
05-04-2022,7388.450195,1681.88501,-0.003581244,-1.448699212,7389.898895,,,,,,,,,,,,,,,,,,,,,,,,
06-04-2022,7346.950195,1672.0,-0.014042087,-5.675670261,7352.625866,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2022,7290.200195,1655.390015,8.4e-06,0.003388154,7290.196807,,,,,,,,,,,,,,,,,,,,,,,,
