Dates,BAJFINANCE.NS Y,BAJAJFINSV.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BAJAJFINSV.NS X,Effective Margin of BAJFINANCE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of BAJFINANCE.NS X,Effective Investment of BAJFINANCE.NS Y,Multiplier X,Multiplier Y
15-07-2022,5915.200195,1184.025024,0.956902315,265.1216185,5650.078577,,0.013866436,1,14953.9751,149.539751,76.12075195,73.41899902,17,5.38869982,805.8248291,538.869982,511.0748291,294.75,7612.075195,7341.899902,5.0,1.0
18-07-2022,6059.799805,1225.0,0.981741898,271.4890301,5788.310775,,0.010824985,2,13258.44971,132.5844971,65.73399902,66.85049805,56,5.765379205,764.3999023,576.5379205,-333.3999023,1097.799805,6573.399902,6685.049805,4.0,1.0
19-07-2022,6065.950195,1244.47998,0.766463132,211.2609668,5854.689228,,0.008394007,,,,,70.05799805,,,,,,,7329.249878,7005.799805,5.0,1.0
20-07-2022,6074.399902,1242.074951,0.823671553,226.1959881,5848.203914,,0.009211758,,,,,,,,,,,,,,,
21-07-2022,6266.899902,1271.64502,1.163846911,318.7858784,5948.114024,,0.009910879,,,,,,,,,,,,,,,
22-07-2022,6258.25,1275.425049,1.084129791,296.0663136,5962.183686,,0.007406327,,,,,,,,,,,,,,,
25-07-2022,6227.0,1261.954956,1.131442135,307.8362145,5919.163785,,0.007489821,,,,,,,,,,,,,,,
26-07-2022,6264.450195,1331.300049,0.422892632,114.5047969,6149.945398,,0.006086172,,,,,,,,,,,,,,,
27-07-2022,6396.350098,1330.704956,0.915940828,247.1605692,6149.189528,,0.00616579,Individual Breakup,,Lot BAJFINANCE.NS Y,Lot  BAJAJFINSV.NS X,Total Profit,Total Trade,,,,,,,,,
28-07-2022,7076.600098,1464.204956,1.799210069,484.7190626,6591.881035,,0.010690695,Margin of BAJAJFINSV.NS X,Margin of BAJFINANCE.NS Y,1,-347.0501709,1918.274902,2,,,,,,,,,
29-07-2022,7209.100098,1504.76001,1.791042767,481.9431904,6727.156907,,0.008721499,1,1,,,,,,,,,,,,,
01-08-2022,7261.0,1507.310059,1.949727131,523.9939287,6737.006071,,0.011457486,,,,,,,,,,,,,,,
02-08-2022,7341.899902,1522.415039,2.060239204,553.5687087,6788.331194,1.0,0.012463463,,,,,,,,,,,,,,,
03-08-2022,7296.350098,1524.390015,1.863295544,500.139615,6796.210483,,0.012853125,,,,,,,,,,,,,,,
04-08-2022,7316.649902,1518.530029,2.004162178,538.2120869,6778.437815,,0.017622719,,,,,,,,,,,,,,,
05-08-2022,7304.700195,1508.584961,2.072215604,557.3696222,6747.330573,,0.018879322,,,,,,,,,,,,,,,
08-08-2022,7342.200195,1553.064941,1.663603605,447.3730932,6894.827102,,0.013093791,,,,,,,,,,,,,,,
10-08-2022,7149.399902,1564.319946,0.809132458,217.1063685,6932.293534,,0.006767103,,,,,,,,,,,,,,,
11-08-2022,7318.950195,1573.694946,1.324654378,354.9647841,6963.985411,,0.008409928,,,,,,,,,,,,,,,
12-08-2022,7309.399902,1576.545044,1.252844567,335.2287124,6974.17119,,0.00649519,,,,,,,,,,,,,,,
16-08-2022,7286.100098,1591.574951,0.982699206,262.1685815,7023.931516,,0.006255204,,,,,,,,,,,,,,,
17-08-2022,7527.100098,1684.030029,0.752890935,200.2212734,7326.878824,,0.005589762,,,,,,,,,,,,,,,
18-08-2022,7488.25,1680.589966,0.650818935,172.6039862,7315.646014,,0.005221594,,,,,,,,,,,,,,,
19-08-2022,7301.700195,1628.76001,0.587676479,155.4604243,7146.239771,,0.004656978,,,,,,,,,,,,,,,
22-08-2022,7102.200195,1587.170044,0.348431539,91.8858588,7010.314337,,0.00409641,,,,,,,,,,,,,,,
23-08-2022,7207.700195,1630.390015,0.216001479,56.75223112,7150.947964,,0.004752631,,,,,,,,,,,,,,,
24-08-2022,7176.899902,1633.38501,0.063486835,16.63481632,7160.265086,,0.006349476,,,,,,,,,,,,,,,
25-08-2022,7047.149902,1624.630005,-0.320882012,-83.96559716,7131.1155,0.0,0.005982075,,,,,,,,,,,,,,,
26-08-2022,7062.100098,1628.599976,-0.311027562,-81.25698427,7143.357082,,0.00578246,,,,,,,,,,,,,,,
29-08-2022,6964.350098,1608.640015,-0.434864847,-113.4463187,7077.796416,,0.006232424,,,,,,,,,,,,,,,
30-08-2022,7306.25,1696.214966,-0.211077444,-54.9632555,7361.213255,,0.004952688,,,,,,,,,,,,,,,
01-09-2022,7181.299805,1740.640015,-1.23552799,-321.4345852,7502.73439,,0.007849304,,,,,,,,,,,,,,,
02-09-2022,7190.350098,1732.925049,-1.096942355,-285.4005599,7475.750658,,0.00756093,,,,,,,,,,,,,,,
05-09-2022,7196.200195,1737.609985,-1.124598563,-292.6600754,7488.860271,,0.006973275,,,,,,,,,,,,,,,
06-09-2022,7119.350098,1696.89502,-0.909024242,-236.4747425,7355.82484,,0.006200246,,,,,,,,,,,,,,,
07-09-2022,7166.5,1705.560059,-0.829717263,-215.6686272,7382.168627,,0.004742725,,,,,,,,,,,,,,,
08-09-2022,7257.649902,1738.285034,-0.878138649,-227.8323045,7485.482207,,0.004726525,,,,,,,,,,,,,,,
09-09-2022,7180.899902,1720.564941,-0.948046756,-245.6234065,7426.523309,,0.004554796,,,,,,,,,,,,,,,
12-09-2022,7286.899902,1713.805054,-0.450677987,-116.4867464,7403.386649,,0.00408199,,,,,,,,,,,,,,,
13-09-2022,7403.450195,1784.75,-0.871820289,-224.9212088,7628.371404,,0.005009395,,,,,,,,,,,,,,,
14-09-2022,7483.450195,1805.349976,-0.809444372,-208.5803113,7692.030507,,0.003633011,,,,,,,,,,,,,,,
15-09-2022,7386.299805,1772.199951,-0.768498245,-197.6174879,7583.917293,,0.004290842,,,,,,,,,,,,,,,
16-09-2022,7274.100098,1734.900024,-0.736430528,-189.125339,7463.225437,,0.004083286,,,,,,,,,,,,,,,
19-09-2022,7496.100098,1765.949951,-0.252214794,-64.62322618,7560.723324,,0.003347985,,,,,,,,,,,,,,,
20-09-2022,7635.399902,1799.599976,-0.120973087,-30.9187517,7666.318654,,0.003558032,,,,,,,,,,,,,,,
