Dates,HCLTECH.NS Y,COFORGE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COFORGE.NS X,Effective Margin of HCLTECH.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HCLTECH.NS X,Effective Investment of HCLTECH.NS Y,Multiplier X,Multiplier Y
2023-05-18,1079.9000244140625,4206.14990234375,0.1812028924323389,10.394552284235488,1069.505472129827,,0.0268007192557665,1.0,11916.5,119.16499999999999,60.382998046875,58.782001953125,54.0,-8.69844169586288,-1036.5498046875,-869.8441695862879,-341.14990234375,-695.39990234375,6038.2998046875,5878.2001953125,1.0,4.0
2023-05-19,1095.3499755859375,4278.14990234375,0.2904279973310727,16.659679656090248,1078.6902959298473,,0.0268048565404194,,,,,,,,,,,,,,,
2023-05-22,1119.8499755859375,4370.9501953125,0.5113690052375357,29.337514372549776,1090.5124612133875,,0.0268415639855682,,,,,,,,,,,,,,,
2023-05-23,1107.3499755859375,4304.5,0.4377526788993958,25.110812500876364,1082.2391630850611,,0.0271556525916976,,,,,,,,,,,,,,,
2023-05-24,1111.949951171875,4255.39990234375,0.6232137972589119,35.747400599878574,1076.2025505719964,,0.0278310348120713,,,,,,,,,,,,,,,
2023-05-25,1116.0,4297.25,0.599185540505118,34.36143738466944,1081.6385626153306,,0.026509481122605,,,,,,,,,,,,,,,
2023-05-26,1139.199951171875,4459.9501953125,0.6442826722734271,36.94350286190229,1102.2564483099727,,0.0242136441957414,Individual Breakup,,Lot HCLTECH.NS Y,Lot  COFORGE.NS X,Total Profit,Total Trade,,,,,,,,,
2023-05-29,1126.199951171875,4420.14990234375,0.5026946331122456,28.817061025462408,1097.3828901464126,,0.0213632957105457,Margin of COFORGE.NS X,Margin of HCLTECH.NS Y,1,1,-1036.5498046875,1,,,,,,,,,
2023-05-30,1135.8499755859375,4400.14990234375,0.712055952249351,40.8115027161316,1095.038472869806,,0.0253057170527111,1,1,,,,,,,,,,,,,
2023-05-31,1145.0999755859375,4555.10009765625,0.532114069478097,30.46876140792915,1114.6312141780083,,0.0245878675871458,,,,,,,,,,,,,,,
2023-06-01,1141.9000244140625,4562.14990234375,0.45869685611062,26.230178604408135,1115.6698458096544,,0.0239421390994941,,,,,,,,,,,,,,,
2023-06-02,1137.050048828125,4590.7998046875,0.3094188892264196,17.67529965838753,1119.3747491697377,,0.0208661183954937,,,,,,,,,,,,,,,
2023-06-05,1138.300048828125,4592.4501953125,0.325805073599578,18.59493202192993,1119.705116806195,,0.0218075900469959,,,,,,,,,,,,,,,
2023-06-06,1128.5999755859375,4415.5,0.5404708903848738,30.83049031181372,1097.7694852741238,,0.0250338544843321,,,,,,,,,,,,,,,
2023-06-07,1129.050048828125,4452.0498046875,0.4659106485342675,26.548135152857867,1102.5019136752671,,0.0234997068087048,,,,,,,,,,,,,,,
2023-06-08,1126.75,4385.5498046875,0.5682855815181943,32.35631370663964,1094.3936862933604,,0.0213634584798737,,,,,,,,,,,,,,,
2023-06-09,1109.75,4408.0,0.2186186474321705,12.437893393652304,1097.3121066063477,,0.0208452224986358,,,,,,,,,,,,,,,
2023-06-12,1139.6500244140625,4506.2998046875,0.5266417030537508,29.94144900762012,1109.7085754064424,,0.020129757843594,,,,,,,,,,,,,,,
2023-06-13,1131.300048828125,4567.89990234375,0.2428504197684769,13.788890331336006,1117.511158496789,,0.0189411299852452,,,,,,,,,,,,,,,
2023-06-14,1135.8499755859375,4619.60009765625,0.2078974176215815,11.791649619583495,1124.058325966354,,0.019103172860901,,,,,,,,,,,,,,,
2023-06-15,1143.5999755859375,4582.9501953125,0.4224336682035636,23.92999927963456,1119.669976306303,,0.0194550749708011,,,,,,,,,,,,,,,
2023-06-16,1148.199951171875,4594.25,0.4763949508516918,26.95503491964746,1121.2449162522275,,0.0193144630071952,,,,,,,,,,,,,,,
2023-06-19,1137.550048828125,4562.89990234375,0.3546454293743852,20.042823732271017,1117.507225095854,,0.0192706284181967,,,,,,,,,,,,,,,
2023-06-20,1168.6500244140625,4559.25,0.909511517653774,51.37142418587837,1117.278600228184,,0.0190635023441761,,,,,,,,,,,,,,,
2023-06-21,1170.449951171875,4604.85009765625,0.8379768777812261,47.29412560264268,1123.1558255692323,,0.0196477382198234,,,,,,,,,,,,,,,
2023-06-22,1163.4000244140625,4534.7001953125,0.863546645708578,48.71264962919077,1114.6873747848715,,0.0167964486662,,,,,,,,,,,,,,,
