Dates,COFORGE.NS Y,LTTS.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of LTTS.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
02-05-2023,4130.649902,3805.699951,-0.17494969,-72.14980123,4202.799704,,0.254247619,1,9519.199707,95.19199707,42.51299805,52.67899902,155,3.35690292,319.550293,335.690292,1168.050293,-848.5,4251.299805,5267.899902,1.0,1.0
03-05-2023,4099.25,3723.800049,-0.107708481,-44.41506321,4143.665063,,0.257097104,,,,,55.4925,,,,,,,5446.299805,5549.25,1.0,1.0
04-05-2023,4104.950195,3725.300049,-0.096638168,-39.84985723,4144.800053,,0.256347582,,,,,,,,,,,,,,,
05-05-2023,4117.600098,3676.699951,0.019605352,8.083319766,4109.516778,,0.255540157,,,,,,,,,,,,,,,
08-05-2023,4116.25,3737.300049,-0.088287839,-36.40099712,4152.650997,,0.2604972,,,,,,,,,,,,,,,
09-05-2023,4125.049805,3763.5,-0.111958607,-46.16080974,4171.210614,,0.260874694,,,,,,,,,,,,,,,
10-05-2023,4125.399902,3835.149902,-0.235179689,-96.97215644,4222.372059,,0.262064677,,,,,,,,,,,,,,,
11-05-2023,4124.799805,3839.149902,-0.242684614,-100.0700202,4224.869825,,0.262592347,Individual Breakup,,Lot COFORGE.NS Y,Lot  LTTS.NS X,Total Profit,Total Trade,,,,,,,,,
12-05-2023,4085.649902,3812.600098,-0.291216468,-120.0857776,4205.73568,,0.264439157,Margin of LTTS.NS X,Margin of COFORGE.NS Y,1,-359.1499023,679.7001953,1,,,,,,,,,
15-05-2023,4131.299805,3855.449951,-0.254812736,-105.0828978,4236.382703,,0.263704427,1,1,,,,,,,,,,,,,
16-05-2023,4204.0,3847.899902,-0.065349978,-26.94979364,4230.949794,,0.260074906,,,,,,,,,,,,,,,
