Dates,COFORGE.NS Y,PERSISTENT.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of PERSISTENT.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-05-18,4206.14990234375,2374.125,-0.6246865711890217,-403.54319533996113,4609.693097683711,,0.5003726881163812,,,,,62.0160009765625,,,,,,,8254.400390625,6201.60009765625,2.0,1.0
2023-05-19,4278.14990234375,2444.10009765625,-0.5790126283019235,-373.65514963144506,4651.805051975195,,0.497644760331883,,,,,,,,,,,,,,,
2023-05-22,4370.9501953125,2520.550048828125,-0.5057623711065117,-325.9821538101569,4696.932349122657,,0.5133347486848857,,,,,,,,,,,,,,,
2023-05-23,4304.5,2475.02490234375,-0.5539922726693302,-357.25415606792194,4661.754156067922,,0.5159343854004952,,,,,,,,,,,,,,,
2023-05-24,4255.39990234375,2483.35009765625,-0.6299441890724341,-406.2240001621713,4661.623902505921,,0.5292159645227293,,,,,,,,,,,,,,,
2023-05-25,4297.25,2513.25,-0.5864039038544937,-378.0553030224128,4675.305303022413,,0.5183218914866239,,,,,,,,,,,,,,,
2023-05-26,4459.9501953125,2544.47509765625,-0.3576345608211576,-230.4389498018245,4690.3891451143245,,0.5067893199540598,Individual Breakup,,Lot COFORGE.NS Y,Lot  PERSISTENT.NS X,Total Profit,Total Trade,,,,,,,,,
2023-05-29,4420.14990234375,2519.625,-0.3887154389049713,-250.53452035670125,4670.684422700451,,0.5057977971063498,Margin of PERSISTENT.NS X,Margin of COFORGE.NS Y,1,185.849609375,-184.849609375,0,,,,,,,,,
2023-05-30,4400.14990234375,2536.175048828125,-0.4283039186884115,-275.98633806786347,4676.1362404116135,,0.516189958752272,1,1,,,,,,,,,,,,,
2023-05-31,4555.10009765625,2569.199951171875,-0.2141242282931258,-137.9082017747396,4693.00829943099,,0.5050268920242297,,,,,,,,,,,,,,,
2023-06-01,4562.14990234375,2586.75,-0.2149591846569011,-138.41019656223762,4700.560098905988,,0.5053712825132338,,,,,,,,,,,,,,,
2023-06-02,4590.7998046875,2613.25,-0.1906308187374937,-122.69822529063276,4713.498029978133,,0.5093218404056038,,,,,,,,,,,,,,,
2023-06-05,4592.4501953125,2604.72509765625,-0.177173513133581,-114.05529262147049,4706.5054879339705,,0.5093545060547454,,,,,,,,,,,,,,,
2023-06-06,4415.5,2490.52490234375,-0.3435514185148811,-221.5128105078211,4637.012810507821,,0.5152822075832807,,,,,,,,,,,,,,,
2023-06-07,4452.0498046875,2509.27490234375,-0.3012156667972292,-194.19363032536603,4646.243435012866,,0.5126471594299773,,,,,,,,,,,,,,,
2023-06-08,4385.5498046875,2463.074951171875,-0.3601882766106459,-232.367123402978,4617.916928090478,,0.5166525281541497,,,,,,,,,,,,,,,
2023-06-09,4408.0,2443.375,-0.3053071836310916,-197.023890318902,4605.023890318902,,0.5133678428297622,,,,,,,,,,,,,,,
2023-06-12,4506.2998046875,2491.85009765625,-0.1952697863054393,-125.95223979182902,4632.252044479329,,0.5079289322831366,,,,,,,,,,,,,,,
2023-06-13,4567.89990234375,2520.10009765625,-0.1246681423258233,-80.38768309644001,4648.28758544019,,0.506064722217674,,,,,,,,,,,,,,,
2023-06-14,4619.60009765625,2482.125,-0.0107781248424567,-6.953045845875749,4626.553143502126,,0.5044727745038636,,,,,,,,,,,,,,,
2023-06-15,4582.9501953125,2492.125,-0.0764335048881105,-49.30271637661281,4632.252911689113,,0.5041452222455844,,,,,,,,,,,,,,,
2023-06-16,4594.25,2479.375,-0.0478075630251745,-30.842303424822603,4625.092303424823,,0.5048856661854871,,,,,,,,,,,,,,,
2023-06-19,4562.89990234375,2471.550048828125,-0.0890822007654387,-57.47587434196339,4620.375776685713,,0.5057629033039346,,,,,,,,,,,,,,,
2023-06-20,4559.25,2484.52490234375,-0.105685328771216,-68.17966180958774,4627.429661809588,,0.5038492984982519,,,,,,,,,,,,,,,
2023-06-21,4604.85009765625,2468.699951171875,-0.0218821816999432,-14.118617373555937,4618.968715029806,,0.5022918255726506,,,,,,,,,,,,,,,
2023-06-22,4534.7001953125,2434.949951171875,-0.1006718602007154,-64.97563014924617,4599.675825461746,,0.5029314991573386,,,,,,,,,,,,,,,
2023-06-23,4499.4501953125,2402.425048828125,-0.1260944385146123,-81.40744943151367,4580.857644744014,,0.5083591242655824,,,,,,,,,,,,,,,
2023-06-26,4606.7001953125,2453.074951171875,-0.0063085830626253,-4.070777665036985,4610.770972977537,,0.5048195976728961,,,,,,,,,,,,,,,
2023-06-27,4695.4501953125,2445.949951171875,0.1360843077416362,87.81843016781386,4607.631765144686,,0.5042702661857785,,,,,,,,,,,,,,,
2023-06-28,4668.89990234375,2437.949951171875,0.1007574702000198,65.02450818726174,4603.875394156488,,0.50309689444617,,,,,,,,,,,,,,,
2023-06-30,4711.2998046875,2505.52490234375,0.1025968941952918,66.15899169042132,4645.140812997079,,0.5013938690176486,,,,,,,,,,,,,,,
2023-07-03,4684.35009765625,2430.875,0.1276035186982428,82.34682755669019,4602.00327009956,,0.5043891527032118,,,,,,,,,,,,,,,
2023-07-04,4708.60009765625,2433.699951171875,0.1605739069792856,103.61718111286427,4604.982916543386,,0.4992042734450932,,,,,,,,,,,,,,,
2023-07-05,4725.4501953125,2428.14990234375,0.1890612866488336,121.99258561512944,4603.457609697371,,0.471456114897265,,,,,,,,,,,,,,,
2023-07-06,4745.2998046875,2444.64990234375,0.1998123899389131,128.84016177927424,4616.459642908226,,0.4909338815552442,,,,,,,,,,,,,,,
2023-07-07,4691.64990234375,2414.77490234375,0.1417901452397407,91.42311134970714,4600.226790994043,,0.4841610037698058,,,,,,,,,,,,,,,
2023-07-10,4611.2998046875,2374.10009765625,0.0538241999213016,34.702423205945706,4576.597381481554,,0.4925834300497218,,,,,,,,,,,,,,,
2023-07-11,4696.9501953125,2358.949951171875,0.1985820215998978,128.0122035302411,4568.937991782259,,0.4584558178016744,,,,,,,,,,,,,,,
2023-07-12,4649.7998046875,2347.425048828125,0.1335096585715183,86.00336586747108,4563.796438820029,,0.446682488206189,,,,,,,,,,,,,,,
2023-07-13,4755.5,2380.050048828125,0.2605622653324234,167.6527494664324,4587.847250533568,,0.4596715087763633,,,,,,,,,,,,,,,
2023-07-14,4925.7998046875,2462.0,0.4349269785445885,279.4312439795176,4646.368560707982,,0.4671528496703123,,,,,,,,,,,,,,,
2023-07-17,4958.14990234375,2481.125,0.4576654047370943,293.7794448323993,4664.370457511351,,0.4675213374544709,,,,,,,,,,,,,,,
2023-07-18,4965.85009765625,2491.699951171875,0.450294168610168,288.8063895541218,4677.043708102128,,0.4347301242092389,,,,,,,,,,,,,,,
2023-07-19,4875.9501953125,2569.35009765625,0.2168603581205664,138.77314862042658,4737.177046692073,,0.4324803181936943,,,,,,,,,,,,,,,
2023-07-20,4819.4501953125,2521.875,0.1750402295149928,111.95296275247074,4707.497232560029,,0.4431185292808735,,,,,,,,,,,,,,,
2023-07-21,4640.2998046875,2374.800048828125,0.0586196692405367,37.511097745083134,4602.788706942417,,0.4286604920081813,,,,,,,,,,,,,,,
2023-07-24,4725.7001953125,2386.949951171875,0.1753264484278976,112.04929799449836,4613.650897318002,,0.4160327912697892,,,,,,,,,,,,,,,
2023-07-25,4687.75,2341.47509765625,0.1657117797868396,105.80114521635733,4581.948854783643,,0.2683080650760823,,,,,,,,,,,,,,,
2023-07-26,4716.14990234375,2332.074951171875,0.2180930385452522,138.78275068218136,4577.367151661569,,0.3044614750564718,,,,,,,,,,,,,,,
2023-07-27,4692.7001953125,2360.175048828125,0.1441673713678101,91.44967624708715,4601.250519065413,,0.2720639649536423,,,,,,,,,,,,,,,
2023-07-28,4672.2998046875,2348.39990234375,0.1231083512020862,77.83563875672826,4594.464165930772,,0.3298074137837065,,,,,,,,,,,,,,,
2023-07-31,4703.7001953125,2372.02490234375,0.1391071369344165,87.70413492014268,4615.996060392357,,0.4220672673116369,,,,,,,,,,,,,,,
2023-08-01,4845.4501953125,2404.77490234375,0.3173406745110598,199.72170543362157,4645.728489878879,,0.4132307357776756,,,,,,,,,,,,,,,
2023-08-02,4757.10009765625,2358.5,0.2336763093739332,146.8747286142161,4610.225369042034,,0.4033461615561242,,,,,,,,,,,,,,,
2023-08-03,4765.25,2345.60009765625,0.2605936357268213,163.5207845093446,4601.729215490655,,0.3996145102910557,,,,,,,,,,,,,,,
2023-08-04,4888.14990234375,2392.875,0.3884451554240359,243.22588562791495,4644.924016715835,,0.4035266548986675,,,,,,,,,,,,,,,
2023-08-07,4942.64990234375,2441.050048828125,0.4040135554314889,252.4110938529329,4690.238808490817,,0.4367969680261133,,,,,,,,,,,,,,,
2023-08-08,4980.89990234375,2428.47509765625,0.4768311993788339,297.542340584072,4683.357561759678,,0.3929863935215233,,,,,,,,,,,,,,,
2023-08-09,5067.9501953125,2424.824951171875,0.6152625927949483,383.2542984517004,4684.6958968608,,0.4085845820383676,,,,,,,,,,,,,,,
2023-08-10,5146.89990234375,2422.25,0.7386768581397133,459.41418352442,4687.48571881933,,0.4281060108618518,,,,,,,,,,,,,,,
2023-08-11,5267.89990234375,2446.27490234375,0.8892008910931954,552.1901080319976,4715.709794311752,,0.4291394642074079,,,,,,,,,,,,,,,
2023-08-14,5277.0498046875,2469.050048828125,0.8610899903764285,533.767577929375,4743.282226758125,,0.3736689019544888,,,,,,,,,,,,,,,
2023-08-16,5075.9501953125,2486.14990234375,0.5029444217671168,310.87028988082056,4765.079905431679,,0.3479699199320307,,,,,,,,,,,,,,,
