Dates,ULTRACEMCO.NS Y,DALBHARAT.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of DALBHARAT.NS X,Effective Margin of ULTRACEMCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ULTRACEMCO.NS X,Effective Investment of ULTRACEMCO.NS Y,Multiplier X,Multiplier Y
2022-03-21,6191.25,1425.1500244140625,0.7702109189625623,231.6016637122557,5959.648336287744,,,,,,,,,,,,,,,,
2022-03-22,6211.60009765625,1422.449951171875,0.8582050181223954,258.0854305397406,5953.514667116509,,,,,,,,,,,,,,,,
2022-03-23,6234.0,1412.5,1.0155259148498887,305.3148055709489,5928.685194429051,,,,,,,,,,,,,,,,
2022-03-24,6351.85009765625,1388.449951171875,1.6088579390531372,484.8322053560824,5867.017892300168,,,,,,,,,,,,,,,,
2022-03-25,6312.7001953125,1360.4000244140625,1.7134727030856685,517.4522113033836,5795.247984009116,,,,,,,,,,,,,,,,
2022-03-28,6359.9501953125,1383.6500244140625,1.6609608304372931,502.0521892147244,5857.898006097776,,Individual Breakup,,Lot ULTRACEMCO.NS Y,Lot  DALBHARAT.NS X,Total Profit,Total Trade,,,,,,,,,
2022-03-29,6526.60009765625,1431.699951171875,1.7890302344589284,541.2257553536729,5985.374342302577,,Margin of DALBHARAT.NS X,Margin of ULTRACEMCO.NS Y,100,500,0,0,,,,,,,,,
2022-03-30,6642.7001953125,1493.1500244140625,1.6348069694990282,495.4550327597608,6147.245162552739,,17.29,13.39,,,,,,,,,,,,,
2022-03-31,6602.2998046875,1495.5999755859375,1.4741865551776476,447.3041386495006,6154.995666037999,,,,,,,,,,,,,,,,
2022-04-01,6670.5498046875,1526.199951171875,1.430443543882446,434.4484124769406,6236.101392210559,,,,,,,,,,,,,,,,
2022-04-04,6743.89990234375,1576.9000244140625,1.2321591957992586,374.6383521351654,6369.261550208585,,,,,,,,,,,,,,,,
2022-04-05,6726.14990234375,1592.3499755859375,1.0378236655794175,315.73634505816153,6410.4135572855885,,,,,,,,,,,,,,,,
2022-04-06,6736.14990234375,1593.9000244140625,1.0536797927392,320.8425853399904,6415.30731700376,,,,,,,,,,,,,,,,
2022-04-07,6736.64990234375,1589.199951171875,1.091564198083225,332.7552159105853,6403.894686433165,,,,,,,,,,,,,,,,
2022-04-08,6837.0,1607.25,1.2615075466253465,385.1573558591108,6451.842644140889,,,,,,,,,,,,,,,,
2022-04-11,6858.75,1620.550048828125,1.2145382285158168,371.3102012534037,6487.439798746596,,,,,,,,,,,,,,,,
2022-04-12,6775.5498046875,1602.5,1.0921443702701488,334.2331990521243,6441.316605635376,,,,,,,,,,,,,,,,
2022-04-13,6730.0498046875,1630.0,0.7072861368187594,216.4966754460565,6513.553129241444,,,,,,,,,,,,,,,,
2022-04-18,6639.60009765625,1601.800048828125,0.6495759581535435,198.7814398000337,6440.818657856216,,,,,,,,,,,,,,,,
2022-04-19,6585.7001953125,1573.050048828125,0.7155657435267077,219.00342681620717,6366.696768496293,,,,,,,,,,,,,,,,
2022-04-20,6807.14990234375,1588.949951171875,1.2988581085030717,397.9942580995303,6409.15564424422,,,,,,,,,,,,,,,,
2022-04-21,6846.5,1613.25,1.2169991573015524,373.0328887390288,6473.467111260971,,,,,,,,,,,,,,,,
2022-04-22,6744.10009765625,1620.25,0.8211669395868678,251.61294294198524,6492.487154714265,,,,,,,,,,,,,,,,
2022-04-25,6595.0498046875,1570.9000244140625,0.7505783535272922,229.9571265777431,6365.092678109757,,,,,,,,,,,,,,,,
2022-04-26,6660.2001953125,1583.0999755859375,0.8570432178112988,262.64667865630963,6397.55351665619,,,,,,,,,,,,,,,,
2022-04-27,6548.4501953125,1549.5999755859375,0.7735891842834997,237.19319025122056,6311.257005061279,,,,,,,,,,,,,,,,
2022-04-28,6616.9501953125,1538.300048828125,1.0887067630790377,333.95793568617864,6282.992259626321,,,,,,,,,,,,,,,,
2022-04-29,6630.25,1519.1500244140625,1.2890368295967094,395.6273445322004,6234.6226554678,,,,,,,,,,,,,,,,
2022-05-02,6679.0,1501.75,1.587479493651836,487.9875653645968,6191.012434635403,,,,,,,,,,,,,,,,
2022-05-04,6521.9501953125,1444.550048828125,1.5514456923908877,477.3802578498089,6044.569937462691,,,,,,,,,,,,,,,,
2022-05-05,6355.7001953125,1439.949951171875,1.045634059822223,321.770281947418,6033.929913365082,,,,,,,,,,,,,,,,
2022-05-06,6200.2001953125,1427.449951171875,0.6424828630781502,197.65234222828624,6002.547853084214,,,,,,,,,,,,,,,,
2022-05-09,6224.60009765625,1452.800048828125,0.5064564736162236,155.72170346710118,6068.878394189149,,,,,,,,,,,,,,,,
2022-05-10,6366.4501953125,1421.800048828125,1.2232569173204038,376.6598759360877,5989.790319376412,,,,,,,,,,,,,,,,
2022-05-11,6340.2001953125,1447.0,0.9240932004745036,284.7892943808374,6055.410900931663,,,,,,,,,,,,,,,,
2022-05-12,6185.4501953125,1405.5,0.7673023556139048,236.60672365689695,5948.843471655603,,,,,,,,,,,,,,,,
2022-05-13,6196.5498046875,1408.0,0.7788640167331746,240.1025864252788,5956.447218262221,,,,,,,,,,,,,,,,
2022-05-16,6012.7998046875,1435.0,-0.0440398932214745,-13.57287999867367,6026.372684686174,,,,,,,,,,,,,,,,
2022-05-17,6107.75,1413.699951171875,0.4408491009411413,135.89003805963694,5971.859961940363,,,,,,,,,,,,,,,,
