Dates,DRREDDY.NS Y,ZYDUSLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ZYDUSLIFE.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
22-02-2023,4476.700195,464.25,-0.797568878,-115.3820356,4592.082231,,9.62e-05,1,9088.499878,90.88499878,46.2239978,44.66100098,25,1.231221859,111.8995972,123.1221859,448.949707,-337.0501099,4622.39978,4466.100098,9.0,1.0
23-02-2023,4449.600098,467.8500061,-1.079754529,-156.3686254,4605.968723,,0.000113044,2,10915.90009,109.1590009,55.2419989,53.91700195,77,0.373314248,40.75061035,37.33142483,102.6002197,-61.84960938,5524.19989,5391.700195,9.0,1.0
24-02-2023,4491.100098,466.4500122,-0.753680561,-109.2072529,4600.307351,,9.16e-05,3,12405.29999,124.0529999,61.52650085,62.52649902,6,-0.972164435,-120.5999146,-97.21644351,189.5,-310.0999146,6152.650085,6252.649902,7.0,1.0
27-02-2023,4421.0,456.0499878,-0.95520553,-138.4760303,4559.47603,,0.000115293,,,,,,,,,,,,,,,
28-02-2023,4316.600098,465.7999878,-1.927797489,-280.526601,4597.126699,,0.000208116,,,,,,,,,,,,,,,
01-03-2023,4344.200195,473.5499878,-1.93485179,-282.5969099,4626.797105,,0.000235225,,,,,,,,,,,,,,,
02-03-2023,4390.600098,466.75,-1.429074559,-209.1635466,4599.763644,,0.000162003,,,,,,,,,,,,,,,
03-03-2023,4437.950195,472.9500122,-1.267093462,-185.7482708,4623.698466,,0.0001473,,,,,,,,,,,,,,,
06-03-2023,4439.200195,476.1499939,-1.339748574,-196.7215197,4635.921715,,0.00016549,Individual Breakup,,Lot DRREDDY.NS Y,Lot  ZYDUSLIFE.NS X,Total Profit,Total Trade,,,,,,,,,
08-03-2023,4426.25,471.4500122,-1.298132306,-190.9356736,4617.185674,,0.000159743,Margin of ZYDUSLIFE.NS X,Margin of DRREDDY.NS Y,1,1,32.05029297,3,,,,,,,,,
09-03-2023,4380.950195,468.7000122,-1.527626634,-225.1644536,4606.114649,,0.000163434,1,1,,,,,,,,,,,,,
10-03-2023,4395.549805,474.8999939,-1.589372997,-234.6114326,4630.161237,,0.000979546,,,,,,,,,,,,,,,
13-03-2023,4370.399902,466.2000122,-1.52327168,-225.3732957,4595.773198,,0.001060368,,,,,,,,,,,,,,,
14-03-2023,4349.549805,470.5499878,-1.771741854,-262.8615454,4612.41135,,0.001475658,,,,,,,,,,,,,,,
15-03-2023,4394.5,473.3999939,-1.542277441,-228.9409063,4623.440906,,0.001387593,,,,,,,,,,,,,,,
16-03-2023,4383.75,479.6499939,-1.773742103,-263.8196381,4647.569638,,0.001651423,,,,,,,,,,,,,,,
17-03-2023,4436.149902,477.3500061,-1.357693846,-202.2151213,4638.365024,,0.001423765,,,,,,,,,,,,,,,
20-03-2023,4439.450195,476.2000122,-1.301931014,-194.1801849,4633.63038,,0.001474568,,,,,,,,,,,,,,,
21-03-2023,4419.350098,478.3500061,-1.488469324,-222.3853077,4641.735405,,0.001798746,,,,,,,,,,,,,,,
22-03-2023,4474.950195,478.6499939,-1.120786742,-167.6564227,4642.606618,,0.001485024,,,,,,,,,,,,,,,
23-03-2023,4446.950195,482.2999878,-1.397301221,-209.4305408,4656.380736,,0.001742098,,,,,,,,,,,,,,,
24-03-2023,4464.149902,480.7000122,-1.235874515,-185.5065528,4649.656455,,0.001638696,,,,,,,,,,,,,,,
27-03-2023,4485.649902,481.8999939,-1.119635077,-168.2687724,4653.918675,,0.001587817,,,,,,,,,,,,,,,
28-03-2023,4526.799805,484.75,-0.916013619,-137.7317626,4664.531567,,0.001306763,,,,,,,,,,,,,,,
29-03-2023,4567.799805,490.3500061,-0.785314265,-118.1255545,4685.925359,,0.001311439,,,,,,,,,,,,,,,
31-03-2023,4622.75,491.5499878,-0.449112435,-67.55506707,4690.305067,,0.001268025,,,,,,,,,,,,,,,
03-04-2023,4656.5,492.3999939,-0.244658121,-36.78003397,4693.280034,,0.000578266,,,,,,,,,,,,,,,
05-04-2023,4682.799805,493.1000061,-0.086498792,-12.99983423,4695.799639,,0.000952126,,,,,,,,,,,,,,,
06-04-2023,4699.399902,494.1499939,-0.003523976,-0.529602131,4699.929504,,0.000894585,,,,,,,,,,,,,,,
10-04-2023,4759.649902,496.5,0.341356886,51.13043615,4708.519466,,0.001091216,,,,,,,,,,,,,,,
11-04-2023,4763.350098,501.0,0.250250168,37.46952381,4725.880574,,0.000916135,,,,,,,,,,,,,,,
12-04-2023,4881.0,504.6000061,0.941598369,141.0344548,4739.965545,,0.000812719,,,,,,,,,,,,,,,
13-04-2023,4852.899902,503.6499939,0.777562276,116.5147385,4736.385164,,0.000605027,,,,,,,,,,,,,,,
17-04-2023,4852.299805,502.1000061,0.814503443,122.025619,4730.274186,,0.001238192,,,,,,,,,,,,,,,
18-04-2023,4912.399902,515.9000244,0.861534195,128.8723147,4783.527588,,0.001180827,,,,,,,,,,,,,,,
19-04-2023,4909.350098,517.0999756,0.816200693,121.7535931,4787.596505,,0.001165915,,,,,,,,,,,,,,,
20-04-2023,4858.200195,513.7000122,0.561750721,83.80873278,4774.391463,,0.001096646,,,,,,,,,,,,,,,
21-04-2023,4868.75,518.75,0.501669146,74.83878114,4793.911219,,0.000939536,,,,,,,,,,,,,,,
24-04-2023,4806.100098,516.9500122,0.130394771,19.44542854,4786.654669,,0.000168843,,,,,,,,,,,,,,,
25-04-2023,4833.299805,518.6500244,0.269803397,40.22569951,4793.074105,,0.000161679,,,,,,,,,,,,,,,
26-04-2023,4845.100098,516.7000122,0.402199763,59.92012172,4785.179976,,0.000169504,,,,,,,,,,,,,,,
27-04-2023,4918.549805,514.6500244,0.950210968,141.515461,4777.034344,,0.001207419,,,,,,,,,,,,,,,
28-04-2023,4929.850098,519.9000244,0.891484303,132.7223886,4797.127709,,0.000256109,,,,,,,,,,,,,,,
02-05-2023,4950.399902,516.9500122,1.103742073,164.485716,4785.914186,,0.000286187,,,,,,,,,,,,,,,
03-05-2023,4952.25,520.75,1.014968171,151.3892522,4800.860748,,0.00027769,,,,,,,,,,,,,,,
04-05-2023,4968.0,520.0499878,1.135465775,169.5626325,4798.437368,,0.000268527,,,,,,,,,,,,,,,
05-05-2023,4942.5,517.0,1.041095821,155.6270259,4786.872974,,0.000286425,,,,,,,,,,,,,,,
08-05-2023,4907.100098,525.4000244,0.589648607,88.09611079,4819.003987,,0.000259291,,,,,,,,,,,,,,,
09-05-2023,4933.25,524.9500122,0.776016729,115.98269,4817.26731,,0.000283259,,,,,,,,,,,,,,,
10-05-2023,4867.299805,525.5999756,0.31735806,47.43549781,4819.864307,,0.000232856,,,,,,,,,,,,,,,
11-05-2023,4532.0,513.75,-1.609709626,-241.279906,4773.279906,,0.000221726,,,,,,,,,,,,,,,
12-05-2023,4466.100098,513.5999756,-2.028888173,-305.2500736,4771.350171,-1.0,0.000259357,,,,,,,,,,,,,,,
15-05-2023,4518.549805,517.75,-1.773212194,-267.5122296,4786.062034,,0.00021529,,,,,,,,,,,,,,,
16-05-2023,4515.049805,516.0999756,-1.741683789,-263.5022242,4778.552029,,0.000229442,,,,,,,,,,,,,,,
17-05-2023,4481.5,518.7999878,-2.015272457,-306.0656385,4787.565638,,0.000301594,,,,,,,,,,,,,,,
18-05-2023,4423.100098,508.0499878,-2.11160531,-322.1462384,4745.246336,,0.000385524,,,,,,,,,,,,,,,
19-05-2023,4391.950195,494.7000122,-1.967117398,-301.2213259,4693.171521,,0.00028281,,,,,,,,,,,,,,,
