Dates,AUROPHARMA.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of AUROPHARMA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of AUROPHARMA.NS X,Effective Investment of AUROPHARMA.NS Y,Multiplier X,Multiplier Y
2022-04-11,698.0999755859375,478.0499877929688,-0.9479996605324276,-87.82460767588987,785.9245832618274,,,,,,,,,,,,,437.0,454.0,1.0,1.0
2022-04-12,681.1500244140625,475.2000122070313,-1.10357857434749,-102.19353264818368,783.3435570622462,,,,,,,,,,,,,,,,
2022-04-13,683.75,477.7999877929688,-1.1031724647552086,-102.18710075218246,785.9371007521825,,,,,,,,,,,,,,,,
2022-04-18,673.7000122070312,467.9500122070313,-1.1105648560918755,-102.89789485296342,776.5979070599947,,,,,,,,,,,,,,,,
2022-04-19,662.1500244140625,459.4500122070313,-1.1489609075917249,-106.48431212484616,768.6343365389087,,,,,,,,,,,,,,,,
2022-04-20,670.6500244140625,457.25,-1.0301376579882089,-95.56807264694328,766.2180970610058,,,,,,,,,,,,,,,,
2022-04-21,674.0,453.6000061035156,-0.9525015305711556,-88.43909542837332,762.4390954283733,,Individual Breakup,,Lot AUROPHARMA.NS Y,Lot  GLENMARK.NS X,Total Profit,Total Trade,,,,,,,,,
2022-04-22,666.7000122070312,443.5499877929688,-0.9256677614524784,-85.99648670085185,752.6964989078831,,Margin of GLENMARK.NS X,Margin of AUROPHARMA.NS Y,1,1,0.0,0,,,,,,,,,
2022-04-25,638.9000244140625,427.0499877929688,-1.0526288287369063,-97.84286887840256,736.742893292465,,1,1,,,,,,,,,,,,,
2022-04-26,638.0999755859375,435.75,-1.146185545426526,-106.69989768324352,744.799873269181,,,,,,,,,,,,,,,,
2022-04-27,629.0499877929688,436.1499938964844,-1.2425153868977457,-115.84103694567476,744.8910247386435,,,,,,,,,,,,,,,,
2022-04-28,633.4000244140625,439.2000122070313,-1.2221380631509984,-114.11680740108636,747.5168318151489,,,,,,,,,,,,,,,,
2022-04-29,629.0499877929688,439.5499877929688,-1.2673419096858405,-118.52163553587798,747.5716233288467,,,,,,,,,,,,,,,,
2022-05-02,642.5,437.4500122070313,-1.0962118708397148,-102.63444931033293,745.1344493103329,,,,,,,,,,,,,,,,
2022-05-04,624.6500244140625,421.0499877929688,-1.1118894906631624,-104.17546547139568,728.8254898854582,,,,,,,,,,,,,,,,
2022-05-05,625.3499755859375,418.5499877929688,-1.0705385537356604,-100.40281242744344,725.752788013381,,,,,,,,,,,,,,,,
2022-05-06,612.9500122070312,410.75,-1.1139905049839598,-104.57457485835504,717.5245870653863,,,,,,,,,,,,,,,,
2022-05-09,614.2999877929688,415.7000122070313,-1.1423832814354695,-107.39890971284024,721.698897505809,,,,,,,,,,,,,,,,
2022-05-10,603.0999755859375,404.1499938964844,-1.13030725791035,-106.34022901621915,709.4402046021567,,,,,,,,,,,,,,,,
2022-05-11,584.4000244140625,403.5,-1.3063818835771035,-123.0711408277748,707.4711652418373,,,,,,,,,,,,,,,,
2022-05-12,570.75,390.5499877929688,-1.2983601478618023,-122.42516724671556,693.1751672467155,,,,,,,,,,,,,,,,
2022-05-13,562.5499877929688,393.8500061035156,-1.405205405977732,-132.779994180637,695.3299819736058,,,,,,,,,,,,,,,,
2022-05-16,551.0999755859375,392.6000061035156,-1.4953756149150783,-141.59728941800165,692.6972650039392,,,,,,,,,,,,,,,,
2022-05-17,535.6500244140625,402.3999938964844,-1.742215620130856,-165.51719718541472,701.1672215994772,,,,,,,,,,,,,,,,
2022-05-18,559.5999755859375,406.2999877929688,-1.5157205350744718,-144.33775500034403,703.9377305862815,,,,,,,,,,,,,,,,
2022-05-19,522.8499755859375,392.6499938964844,-1.726836897581697,-164.73229911268038,687.5822746986179,,,,,,,,,,,,,,,,
2022-05-20,557.9500122070312,407.5,-1.503259005325065,-143.72888262712183,701.6788948341531,,,,,,,,,,,,,,,,
2022-05-23,558.7999877929688,404.1499938964844,-1.4365967062689478,-137.49604678141645,696.2960345743852,,,,,,,,,,,,,,,,
2022-05-24,538.5499877929688,394.9500122070313,-1.521153413339399,-145.75484024611546,684.3048280390842,,,,,,,,,,,,,,,,
2022-05-25,523.0999755859375,386.5499877929688,-1.560669415940746,-149.73014683353722,672.8301224194747,,,,,,,,,,,,,,,,
2022-05-26,535.8499755859375,393.6499938964844,-1.48576032702115,-142.78927270385293,678.6392482897904,,,,,,,,,,,,,,,,
2022-05-27,529.7000122070312,397.8999938964844,-1.5741654847737172,-151.4926106537646,681.1926228607958,,,,,,,,,,,,,,,,
2022-05-30,528.1500244140625,409.4500122070313,-1.7054410759515066,-164.5942279463154,692.7442523603779,,,,,,,,,,,,,,,,
2022-05-31,530.7999877929688,393.5499877929688,-1.4673448561342577,-141.74141054883944,672.5413983418082,,,,,,,,,,,,,,,,
2022-06-01,540.7000122070312,388.8999938964844,-1.288827745189833,-124.58253098268938,665.2825431897206,,,,,,,,,,,,,,,,
2022-06-02,532.9500122070312,389.1000061035156,-1.3508705676160015,-130.7179180419647,663.667930248996,,,,,,,,,,,,,,,,
2022-06-03,528.4000244140625,389.1499938964844,-1.3792429007681486,-133.6620590403776,662.0620834544401,,,,,,,,,,,,,,,,
2022-06-06,522.5,392.5499877929688,-1.4617821343167925,-141.90747401265708,664.4074740126571,,,,,,,,,,,,,,,,
2022-06-07,516.2999877929688,380.1000061035156,-1.3470566484117492,-130.77604895464253,647.0760367476113,,,,,,,,,,,,,,,,
2022-06-08,522.9000244140625,395.3999938964844,-1.450687127424318,-141.03437782841684,663.9344022424793,,,,,,,,,,,,,,,,
2022-06-09,529.8499755859375,395.6000061035156,-1.3592533328966578,-132.13262381881623,661.9825994047537,,,,,,,,,,,,,,,,
2022-06-10,533.5999755859375,388.4500122070313,-1.209017713258096,-117.53122629822292,651.1312018841604,,,,,,,,,,,,,,,,
2022-06-13,516.7999877929688,375.3999938964844,-1.188692652614015,-115.48236983155276,632.2823576245215,,,,,,,,,,,,,,,,
2022-06-14,535.75,382.0,-1.060871074376325,-103.08418856790252,638.8341885679025,,,,,,,,,,,,,,,,
2022-06-15,538.8499755859375,382.1499938964844,-1.0110420285039934,-98.17239393770888,637.0223695236464,,,,,,,,,,,,,,,,
2022-06-16,522.7000122070312,363.7999877929688,-0.9085838914269484,-88.05861686267258,610.7586290697038,,,,,,,,,,,,,,,,
2022-06-17,515.75,362.6000061035156,-0.9430899612752408,-91.35734191830876,607.1073419183087,,,,,,,,,,,,,,,,
2022-06-20,509.75,352.45001220703125,-0.8534848028180767,-82.67514157849837,592.4251415784984,,,,,,,,,,,,,,,,
2022-06-21,534.0499877929688,372.6000061035156,-0.8709540519032414,-84.5450009361765,618.5949887291453,,,,,,,,,,,,,,,,
2022-06-22,518.5,367.3500061035156,-0.9446116123894998,-91.71974587266892,610.2197458726689,,,,,,,,,,,,,,,,
2022-06-23,517.5,376.8999938964844,-1.0740600265125702,-104.44262630056572,621.9426263005657,,,,,,,,,,,,,,,,
2022-06-24,526.5,384.1499938964844,-1.071115322089985,-104.31090913695948,630.8109091369595,,,,,,,,,,,,,,,,
2022-06-27,521.25,385.7999877929688,-1.1355818918435034,-110.72418206561316,631.9741820656131,,,,,,,,,,,,,,,,
2022-06-28,521.3499755859375,387.3999938964844,-1.1439881869179664,-111.67340239252644,633.0233779784639,,,,,,,,,,,,,,,,
2022-06-29,514.4500122070312,389.25,-1.2256115210489698,-119.76317288712583,634.2131850941571,,,,,,,,,,,,,,,,
2022-06-30,513.0999755859375,386.3500061035156,-1.1828381430086596,-115.65023097703374,628.7502065629712,,,,,,,,,,,,,,,,
2022-07-01,522.4500122070312,394.1000061035156,-1.1838783946261862,-115.87872302165306,638.3287352286843,,,,,,,,,,,,,,,,
2022-07-04,529.25,387.0499877929688,-0.9994969892850026,-97.82703851871838,627.0770385187184,,,,,,,,,,,,,,,,
2022-07-05,533.4000244140625,381.1499938964844,-0.8571017137824198,-83.82479121467293,617.2248156287354,,,,,,,,,,,,,,,,
2022-07-06,544.0,389.3500061035156,-0.8542368729541187,-83.4957620386989,627.4957620386989,,,,,,,,,,,,,,,,
2022-07-07,546.5499877929688,390.3999938964844,-0.8309041129621136,-81.14576690820252,627.6957547011713,,,,,,,,,,,,,,,,
2022-07-08,546.5499877929688,387.5,-0.7744621676600378,-75.51145734897955,622.0614451419483,,,,,,,,,,,,,,,,
2022-07-11,543.9500122070312,390.2999877929688,-0.8282716034937285,-80.64239804834631,624.5924102553776,,,,,,,,,,,,,,,,
2022-07-12,535.25,379.7999877929688,-0.7429479813321709,-72.13837065471421,607.3883706547142,,,,,,,,,,,,,,,,
2022-07-13,559.4500122070312,385.7000122070313,-0.5685472100395015,-55.05108790188967,614.5011001089209,,,,,,,,,,,,,,,,
2022-07-14,552.7000122070312,389.2999877929688,-0.6796145193545832,-65.65075877950972,618.350770986541,,,,,,,,,,,,,,,,
2022-07-15,548.75,380.5,-0.5711212726203494,-55.01599465039169,603.7659946503917,,,,,,,,,,,,,,,,
2022-07-18,553.4000244140625,381.4500122070313,-0.5237381318029656,-50.32467740410482,603.7247018181673,,,,,,,,,,,,,,,,
2022-07-19,556.9500122070312,383.8999938964844,-0.5121900619972181,-49.1192926494,606.0693048564312,,,,,,,,,,,,,,,,
2022-07-20,559.9500122070312,384.0499877929688,-0.4690336956935613,-44.84325282815757,604.7932650351888,,,,,,,,,,,,,,,,
2022-07-21,554.8499755859375,381.1000061035156,-0.4621065633632729,-44.06236164599943,598.9123372319369,,,,,,,,,,,,,,,,
2022-07-22,550.9500122070312,374.5,-0.3844145689621723,-36.563416234496685,587.5134284415279,,,,,,,,,,,,,,,,
2022-07-25,543.8499755859375,374.1000061035156,-0.4416938038835303,-41.96030450139915,585.8102800873367,,,,,,,,,,,,,,,,
2022-07-26,526.1500244140625,361.8500061035156,-0.4147370669662522,-39.301648423692086,565.4516728377546,,,,,,,,,,,,,,,,
2022-07-27,542.0999755859375,376.3999938964844,-0.4729040171110584,-44.75121304898335,586.8511886349208,,,,,,,,,,,,,,,,
2022-07-28,543.75,380.0499877929688,-0.5054121558699431,-47.7568515336892,591.5068515336892,,,,,,,,,,,,,,,,
2022-07-29,547.0,380.8500061035156,-0.4738676969733689,-44.64488367729746,591.6448836772975,,,,,,,,,,,,,,,,
2022-08-01,558.1500244140625,380.6000061035156,-0.3414919141851444,-32.07674398040001,590.2267683944625,,,,,,,,,,,,,,,,
2022-08-02,575.2000122070312,376.4500122070313,-0.0806435981975224,-7.548258927445886,582.7482711344771,,,,,,,,,,,,,,,,
2022-08-03,557.2000122070312,369.8500061035156,-0.1513804218654969,-14.1207307410034,571.3207429480346,,,,,,,,,,,,,,,,
