Dates,HCLTECH.NS Y,COFORGE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COFORGE.NS X,Effective Margin of HCLTECH.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HCLTECH.NS X,Effective Investment of HCLTECH.NS Y,Multiplier X,Multiplier Y
31-01-2023,1122.199951,4378.899902,0.52423705,31.69297396,1090.506977,,0.069499214,,,,,58.78200195,,,,,,,6038.299805,5878.200195,1.0,4.0
01-02-2023,1132.099976,4352.75,0.736445518,44.47255795,1087.627418,,0.074096466,,,,,,,,,,,,,,,
02-02-2023,1149.599976,4433.899902,0.876434498,52.87946028,1096.720515,,0.0804023,,,,,,,,,,,,,,,
03-02-2023,1146.150024,4308.600098,1.050540816,63.36982136,1082.780203,,0.089936619,,,,,,,,,,,,,,,
06-02-2023,1145.699951,4317.799805,1.025334914,61.8394959,1083.860455,,0.088475894,,,,,,,,,,,,,,,
07-02-2023,1128.25,4302.600098,0.764655728,46.0884904,1082.16151,,0.078032894,,,,,,,,,,,,,,,
08-02-2023,1145.0,4329.450195,0.991935741,59.76987115,1085.230129,,0.083350995,Individual Breakup,,Lot HCLTECH.NS Y,Lot  COFORGE.NS X,Total Profit,Total Trade,,,,,,,,,
09-02-2023,1146.349976,4340.5,0.993218144,59.826872,1086.523104,,0.077689,Margin of COFORGE.NS X,Margin of HCLTECH.NS Y,1,300.949707,-299.949707,0,,,,,,,,,
10-02-2023,1115.650024,4334.299805,0.496428397,29.86105655,1085.788968,,0.067109491,1,1,,,,,,,,,,,,,
13-02-2023,1113.0,4032.25,1.024177517,61.58695225,1051.413048,,0.079725839,,,,,,,,,,,,,,,
14-02-2023,1125.449951,4079.899902,1.141219369,68.62972101,1056.82023,,0.087349231,,,,,,,,,,,,,,,
15-02-2023,1132.900024,4115.0,1.197886036,72.06464667,1060.835378,,0.092961429,,,,,,,,,,,,,,,
16-02-2023,1128.150024,4229.299805,0.901337047,54.21861215,1073.931412,,0.079260749,,,,,,,,,,,,,,,
17-02-2023,1109.550049,4204.100098,0.641126578,38.54393507,1071.006114,,0.067408453,,,,,,,,,,,,,,,
20-02-2023,1115.699951,4335.450195,0.492945876,29.60394368,1086.096007,,0.073986947,,,,,,,,,,,,,,,
21-02-2023,1105.199951,4339.950195,0.309963149,18.60392738,1086.596024,,0.07483736,,,,,,,,,,,,,,,
22-02-2023,1092.599976,4342.549805,0.095654468,5.738591405,1086.861384,,0.071726028,,,,,,,,,,,,,,,
23-02-2023,1094.349976,4420.899902,-0.025891285,-1.552416014,1095.902392,,0.066451853,,,,,,,,,,,,,,,
24-02-2023,1094.849976,4377.5,0.067335322,4.034107727,1090.815868,,0.075624014,,,,,,,,,,,,,,,
