Dates,CUB.NS Y,HDFCBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCBANK.NS X,Effective Margin of CUB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of CUB.NS X,Effective Investment of CUB.NS Y,Multiplier X,Multiplier Y
2022-03-17,120.6500015258789,1480.050048828125,-2.535398955121456,-37.68701538811379,158.3370169139927,-1.0,1.0,1417277.5344848633,216684.2003303528,102730.27388916016,113953.92644119263,84.0,15.34350274408742,217460.01739501956,100.3580404401816,150249.9771118164,67210.04028320312,814027.5268554688,603250.0076293945,1.0,1.0
2022-03-21,119.8000030517578,1486.5,-2.607474609625914,-38.788353746152666,158.58835679791048,,2.0,1752917.4713134766,280610.75892303465,101675.23680541992,178935.52211761475,86.0,10.98397383155858,192539.99633789065,68.61461658734906,73040.02685546875,119499.96948242188,805667.4865722656,947249.9847412108,1.0,1.0
2022-03-22,120.0,1494.1500244140625,-2.598348806873401,-38.89985623453134,158.89985623453134,,,,,,,,,,,,,912092.4865722656,674499.9694824219,1.0,1.0
2022-03-23,125.5999984741211,1479.25,-2.156486545361557,-32.42606098003142,158.02605945415252,,,,,,,,,,,,,,,,
2022-03-24,124.0500030517578,1442.6500244140625,-2.1147916537112623,-31.94022006413377,155.99022311589158,,,,,,,,,,,,,,,,
2022-03-25,124.6999969482422,1430.9000244140625,-2.0173588191095457,-30.58650005222279,155.28649700046498,,,,,,,,,,,,,,,,
2022-03-28,124.3499984741211,1432.800048828125,-2.0339649575439656,-30.966129929793823,155.31612840391492,,,,,,,,,,,,,,,,
2022-03-29,126.3499984741211,1451.800048828125,-1.957303774174617,-29.91332986857645,156.26332834269755,,,,,,,,,,,,,,,,
2022-03-30,126.6999969482422,1476.949951171875,-2.009415693669661,-30.83020479377916,157.53020174202135,,Individual Breakup,,Lot CUB.NS Y,Lot  HDFCBANK.NS X,Total Profit,Total Trade,,,,,,,,,
2022-03-31,128.89999389648438,1470.3499755859375,-1.8320691411950296,-28.20493881006138,157.10493270654575,,Margin of HDFCBANK.NS X,Margin of CUB.NS Y,5000,550,410000.01373291016,2,,,,,,,,,
2022-04-01,134.3000030517578,1506.0,-1.5958514718718209,-24.62012165687628,158.9201247086341,,12.62,18.89,,,,,,,,,,,,,
2022-04-04,136.5,1656.800048828125,-1.952460723003585,-30.17874594911933,166.67874594911933,,,,,,,,,,,,,,,,
2022-04-05,139.35000610351562,1608.25,-1.5905328994970034,-24.655458951442085,164.0054650549577,,,,,,,,,,,,,,,,
2022-04-06,141.4499969482422,1550.8499755859375,-1.2560158795539007,-19.51148552962076,160.96148247786294,,,,,,,,,,,,,,,,
2022-04-07,140.0,1516.75,-1.2302272683881388,-19.143972539255174,159.14397253925517,,,,,,,,,,,,,,,,
2022-04-08,140.0500030517578,1514.6500244140625,-1.2149765247804385,-18.93408884073392,158.98409189249173,,,,,,,,,,,,,,,,
2022-04-11,141.60000610351562,1496.1500244140625,-1.0500379341055344,-16.383871226365358,157.98387732988098,,,,,,,,,,,,,,,,
2022-04-12,138.0500030517578,1493.5,-1.263510964209965,-19.74589887123551,157.79590192299332,,,,,,,,,,,,,,,,
2022-04-13,139.39999389648438,1464.949951171875,-1.0789789040621232,-16.884293552503493,156.28428744898787,,,,,,,,,,,,,,,,
2022-04-18,136.60000610351562,1395.449951171875,-1.0261000325127865,-16.076825307399133,152.67683141091476,,,,,,,,,,,,,,,,
2022-04-19,132.39999389648438,1342.199951171875,-1.11630784862041,-17.51132701845694,149.9113209149413,,,,,,,,,,,,,,,,
2022-04-20,133.3000030517578,1354.300048828125,-1.0958136910115268,-17.20937581291051,150.50937886466832,,,,,,,,,,,,,,,,
2022-04-21,137.4499969482422,1374.3499755859375,-0.895664480260411,-14.07451286306258,151.52450981130477,,,,,,,,,,,,,,,,
2022-04-22,135.0500030517578,1355.5999755859375,-0.9855990107328172,-15.500026896916124,150.55002994867394,,,,,,,,,,,,,,,,
2022-04-25,134.6999969482422,1365.75,-1.0381759587451769,-16.343775328146194,151.04377227638838,,,,,,,,,,,,,,,,
2022-04-26,139.8000030517578,1372.050048828125,-0.7322846451643912,-11.533881842482288,151.3338848942401,,,,,,,,,,,,,,,,
2022-04-27,138.8000030517578,1372.550048828125,-0.7941358021444223,-12.508769751971784,151.3087728037296,,,,,,,,,,,,,,,,
2022-04-28,139.89999389648438,1371.3499755859375,-0.7177655500770911,-11.309611393775242,151.20960529025962,,,,,,,,,,,,,,,,
2022-04-29,137.10000610351562,1384.5999755859375,-0.9351230781617164,-14.7411636795415,151.84116978305713,,,,,,,,,,,,,,,,
2022-05-02,134.0500030517578,1403.699951171875,-1.186585376690307,-18.72051855333564,152.77052160509345,,,,,,,,,,,,,,,,
2022-05-04,132.14999389648438,1356.0,-1.1450187291048934,-18.078124167056245,150.22811806354062,,,,,,,,,,,,,,,,
2022-05-05,130.14999389648438,1352.949951171875,-1.2558738547651849,-19.85308879734808,150.00308269383245,,,,,,,,,,,,,,,,
2022-05-06,125.8499984741211,1317.5999755859375,-1.4035960995533898,-22.22666667688497,148.07666515100607,,,,,,,,,,,,,,,,
