Dates,HINDCOPPER.NS Y,COALINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COALINDIA.NS X,Effective Margin of HINDCOPPER.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HINDCOPPER.NS X,Effective Investment of HINDCOPPER.NS Y,Multiplier X,Multiplier Y
13-02-2023,105.9000015,213.0500031,-0.435722513,-7.272154324,113.1721559,,0.000705017,1,511.4500122,5.114500122,2.2925,2.822000122,25,-8.280377326,-42.34999084,-828.0377326,18.55000305,-60.8999939,229.25,282.2000122,1.0,2.0
14-02-2023,106.5500031,211.75,-0.420697194,-6.940285397,113.4902884,,0.000323327,,,,,,,,,,,,,,,
15-02-2023,106.6999969,212.8999939,-0.392323213,-6.421505161,113.1215021,,0.000990184,,,,,,,,,,,,,,,
16-02-2023,108.1500015,215.4499969,-0.258056082,-4.185311646,112.3353132,,0.00343127,,,,,,,,,,,,,,,
17-02-2023,106.0500031,217.5,-0.348583476,-5.622919857,111.6729229,,0.006104586,,,,,,,,,,,,,,,
20-02-2023,104.25,218.3000031,-0.44291625,-7.134912841,111.3849128,,0.007948182,,,,,,,,,,,,,,,
21-02-2023,103.5999985,214.0500031,-0.560251338,-9.029147801,112.6291463,,0.007673244,Individual Breakup,,Lot HINDCOPPER.NS Y,Lot  COALINDIA.NS X,Total Profit,Total Trade,,,,,,,,,
22-02-2023,100.8499985,211.8500061,-0.76861668,-12.39106006,113.2410585,,0.006205531,Margin of COALINDIA.NS X,Margin of HINDCOPPER.NS Y,1,1,-42.34999084,1,,,,,,,,,
23-02-2023,101.6500015,214.8999939,-0.659471945,-10.62011757,112.2701191,,0.008285895,1,1,,,,,,,,,,,,,
24-02-2023,100.0,217.0500031,-0.719687739,-11.56201753,111.5620175,,0.01111577,,,,,,,,,,,,,,,
27-02-2023,97.0,216.9499969,-0.904711224,-14.52492489,111.5249249,,0.014601425,,,,,,,,,,,,,,,
28-02-2023,97.25,215.3999939,-0.913904117,-14.67733787,111.9273379,,0.012626837,,,,,,,,,,,,,,,
01-03-2023,102.5999985,218.75,-0.515526788,-8.279277775,110.8792762,,0.010905704,,,,,,,,,,,,,,,
02-03-2023,101.4499969,222.8500061,-0.507845966,-8.152151092,109.602148,,0.011787626,,,,,,,,,,,,,,,
03-03-2023,103.0,222.9499969,-0.407495008,-6.539762149,109.5397621,,0.011983686,,,,,,,,,,,,,,,
06-03-2023,102.4000015,224.8999939,-0.406220219,-6.518391964,108.9183935,,0.012176118,,,,,,,,,,,,,,,
08-03-2023,101.5,224.8500061,-0.460849044,-7.396294988,108.896295,,0.012329772,,,,,,,,,,,,,,,
09-03-2023,102.1500015,224.8000031,-0.419104897,-6.727521635,108.8775232,,0.012289836,,,,,,,,,,,,,,,
10-03-2023,100.6999969,224.3500061,-0.515233914,-8.273088285,108.9730852,,0.012211605,,,,,,,,,,,,,,,
13-03-2023,98.59999847,220.8000031,-0.709298253,-11.39784967,109.9978481,,0.011880201,,,,,,,,,,,,,,,
14-03-2023,98.25,221.0500031,-0.72246588,-11.61142755,109.8614276,,0.013456631,,,,,,,,,,,,,,,
15-03-2023,98.65000153,219.8999939,-0.715697944,-11.49859468,110.1485962,,0.012364607,,,,,,,,,,,,,,,
16-03-2023,97.75,220.8500061,-0.749438299,-12.04216754,109.7921675,,0.013860799,,,,,,,,,,,,,,,
17-03-2023,100.1999969,221.6499939,-0.578239925,-9.288760099,109.488757,,0.010838874,,,,,,,,,,,,,,,
20-03-2023,97.25,217.0500031,-0.846474066,-13.60921451,110.8592145,,0.011494675,,,,,,,,,,,,,,,
21-03-2023,98.19999695,217.0500031,-0.783553694,-12.59642613,110.7964231,,0.01147535,,,,,,,,,,,,,,,
22-03-2023,98.40000153,213.9499969,-0.827934944,-13.30742542,111.7074269,,0.011176385,,,,,,,,,,,,,,,
23-03-2023,98.59999847,213.3500061,-0.823821612,-13.23894245,111.8389409,,0.009994095,,,,,,,,,,,,,,,
24-03-2023,96.30000305,208.4499969,-1.060271563,-17.0449932,113.3449963,,0.013627156,,,,,,,,,,,,,,,
27-03-2023,96.0,208.3999939,-1.076573995,-17.30344071,113.3034407,,0.015390337,,,,,,,,,,,,,,,
28-03-2023,94.65000153,208.8999939,-1.145986964,-18.43222274,113.0822243,,0.017620068,,,,,,,,,,,,,,,
29-03-2023,96.44999695,212.9499969,-0.948110246,-15.2577425,111.7077394,,0.016286684,,,,,,,,,,,,,,,
31-03-2023,98.34999847,213.6499939,-0.812449998,-13.08297409,111.4329726,,0.015610976,,,,,,,,,,,,,,,
03-04-2023,99.34999847,220.1499939,-0.616306066,-9.922837427,109.2728359,,0.014445239,,,,,,,,,,,,,,,
05-04-2023,98.19999695,222.5,-0.637415985,-10.26460351,108.4646005,,0.015085422,,,,,,,,,,,,,,,
06-04-2023,99.0,221.6999969,-0.601646953,-9.691852237,108.6918522,,0.014718675,,,,,,,,,,,,,,,
10-04-2023,100.5,222.0500031,-0.498114104,-8.02327242,108.5232724,,0.013697089,,,,,,,,,,,,,,,
11-04-2023,100.6999969,223.6499939,-0.450861988,-7.262949879,107.9629468,,0.012850723,,,,,,,,,,,,,,,
12-04-2023,100.9499969,227.6999969,-0.350381009,-5.643303197,106.5933001,,0.012641713,,,,,,,,,,,,,,,
13-04-2023,100.5500031,225.5,-0.419556348,-6.757493954,107.307497,,0.012708213,,,,,,,,,,,,,,,
17-04-2023,102.3000031,229.6000061,-0.225638686,-3.633293359,105.9332964,,0.012099296,,,,,,,,,,,,,,,
18-04-2023,101.1500015,232.1999969,-0.242309944,-3.901188547,105.0511901,,0.012265579,,,,,,,,,,,,,,,
19-04-2023,101.3000031,230.3999939,-0.267702418,-4.310747002,105.6107501,,0.012264488,,,,,,,,,,,,,,,
20-04-2023,101.0999985,229.5500031,-0.295657183,-4.761628002,105.8616265,,0.011443723,,,,,,,,,,,,,,,
21-04-2023,98.5,230.0500031,-0.444057882,-7.152827795,105.6528278,,0.010949689,,,,,,,,,,,,,,,
24-04-2023,99.30000305,231.5500031,-0.363844239,-5.857253827,105.1572569,,0.010953771,,,,,,,,,,,,,,,
25-04-2023,99.09999847,230.25,-0.404442064,-6.503630436,105.6036289,,0.011732378,,,,,,,,,,,,,,,
26-04-2023,98.90000153,229.75,-0.428492181,-6.882385876,105.7823874,,0.01172966,,,,,,,,,,,,,,,
27-04-2023,99.84999847,231.75,-0.329656083,-5.288473282,105.1384718,,0.012631734,,,,,,,,,,,,,,,
28-04-2023,101.4000015,233.1000061,-0.207432837,-3.323688041,104.7236896,,0.012278691,,,,,,,,,,,,,,,
02-05-2023,104.3000031,236.1000061,0.03172159,0.507739023,103.792264,,0.009847213,,,,,,,,,,,,,,,
03-05-2023,105.3000031,236.8999939,0.107116146,1.713073906,103.5869291,,0.004351618,,,,,,,,,,,,,,,
04-05-2023,107.5999985,237.4499969,0.257076908,4.105089209,103.4949093,,0.00068612,,,,,,,,,,,,,,,
05-05-2023,104.6500015,237.3999939,0.064993919,1.032417589,103.6175839,,0.000769214,,,,,,,,,,,,,,,
08-05-2023,106.9000015,232.8500061,0.111572502,1.749821933,105.1501796,,0.002911134,,,,,,,,,,,,,,,
09-05-2023,105.75,236.3500061,0.105120711,1.626455769,104.1235442,,0.005507576,,,,,,,,,,,,,,,
10-05-2023,105.6999969,236.5500031,0.102670394,1.574121748,104.1258752,,0.004974428,,,,,,,,,,,,,,,
11-05-2023,105.0999985,236.1499939,0.051151698,0.778979041,104.3210194,,0.001730647,,,,,,,,,,,,,,,
12-05-2023,102.0999985,235.0500031,-0.171699047,-2.597392474,104.6973909,,0.002176352,,,,,,,,,,,,,,,
15-05-2023,104.4499969,237.6999969,0.030126182,0.45103269,103.9989643,,0.00364278,,,,,,,,,,,,,,,
16-05-2023,104.3499985,240.9499969,0.082664249,1.225636652,103.1243618,,0.003840835,,,,,,,,,,,,,,,
17-05-2023,102.6500015,241.6000061,-0.02519418,-0.370710356,103.0207119,,0.0026674,,,,,,,,,,,,,,,
18-05-2023,101.9000015,239.6000061,-0.120530488,-1.761332735,103.6613343,,0.003026476,,,,,,,,,,,,,,,
19-05-2023,101.5999985,239.8999939,-0.140581834,-2.037811042,103.6378095,,0.002889733,,,,,,,,,,,,,,,
22-05-2023,103.6999969,238.6999969,-0.024141013,-0.347346198,104.0473431,,0.001911077,,,,,,,,,,,,,,,
23-05-2023,102.9000015,239.3000031,-0.073814887,-1.054102033,103.9541036,,0.001119633,,,,,,,,,,,,,,,
24-05-2023,102.1999969,241.0,-0.097007645,-1.373191033,103.573188,,0.001577373,,,,,,,,,,,,,,,
25-05-2023,102.8499985,240.0500031,-0.076047417,-1.065559392,103.9155579,,0.003624963,,,,,,,,,,,,,,,
26-05-2023,106.9000015,241.5,0.235184747,3.265380929,103.6346206,,0.002954187,,,,,,,,,,,,,,,
29-05-2023,108.9000015,246.1000061,0.460324875,6.35065952,102.549342,,0.003005021,,,,,,,,,,,,,,,
30-05-2023,111.0999985,244.3000031,0.579636676,7.949445896,103.1505526,,0.003416697,,,,,,,,,,,,,,,
