Dates,HINDPETRO.NS Y,BPCL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BPCL.NS X,Effective Margin of HINDPETRO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HINDPETRO.NS X,Effective Investment of HINDPETRO.NS Y,Multiplier X,Multiplier Y
16-02-2023,231.3999939,325.7000122,-0.419942869,-11.7397882,243.1397821,,0.283402005,1,832.8999939,8.328999939,4.49,3.838999939,14,-3.343739501,-27.8500061,-334.3739501,3.649993896,-31.5,449.0,383.8999939,1.0,1.0
17-02-2023,234.0500031,331.7000122,-0.397754375,-11.10644228,245.1564453,,0.276032518,2,1145.099976,11.45099976,6.092999878,5.357999878,2,-1.908128203,-21.84997559,-190.8128203,-10.64996338,-11.20001221,609.2999878,535.7999878,1.0,1.0
20-02-2023,231.3999939,326.1499939,-0.424434023,-11.8321188,243.2321127,,0.268464434,,,,,,,,,,,,,,,
21-02-2023,227.25,323.25,-0.536411896,-14.93012108,242.1801211,,0.271927035,,,,,,,,,,,,,,,
22-02-2023,223.8999939,320.4500122,-0.619213813,-17.20854816,241.1085421,,0.240725995,,,,,,,,,,,,,,,
23-02-2023,222.1000061,320.5499878,-0.682801239,-18.93790134,241.0379074,,0.26251113,,,,,,,,,,,,,,,
24-02-2023,217.0,317.5499878,-0.825328929,-22.85491791,239.8549179,,0.258262192,,,,,,,,,,,,,,,
27-02-2023,214.3000031,320.4500122,-0.954848856,-26.40456646,240.7045695,,0.266507483,Individual Breakup,,Lot HINDPETRO.NS Y,Lot  BPCL.NS X,Total Profit,Total Trade,,,,,,,,,
28-02-2023,215.25,317.3500061,-0.876384384,-24.18996482,239.4399648,,0.2410217,Margin of BPCL.NS X,Margin of HINDPETRO.NS Y,1,1,-49.69998169,2,,,,,,,,,
01-03-2023,215.1999969,315.8999939,-0.855127691,-23.5529122,238.7529091,,0.223172343,1,1,,,,,,,,,,,,,
02-03-2023,218.0500031,321.0499878,-0.815803625,-22.41951142,240.4695145,,0.204047626,,,,,,,,,,,,,,,
03-03-2023,218.8999939,321.3999939,-0.786358487,-21.55033922,240.4503331,,0.215514146,,,,,,,,,,,,,,,
06-03-2023,220.3999939,324.5499878,-0.772267077,-21.11334563,241.5133395,,0.230692453,,,,,,,,,,,,,,,
08-03-2023,223.75,326.1000061,-0.669432759,-18.26016557,242.0101656,,0.193767582,,,,,,,,,,,,,,,
09-03-2023,226.8500061,324.8500061,-0.53716167,-14.60645643,241.4564625,,0.178570601,,,,,,,,,,,,,,,
10-03-2023,229.6999969,326.0499878,-0.447456925,-12.12737755,241.8273745,,0.184572077,,,,,,,,,,,,,,,
13-03-2023,228.25,322.6000061,-0.451291219,-12.1924317,240.4424317,,0.196901398,,,,,,,,,,,,,,,
