Dates,ICICIBANK.NS Y,FEDERALBNK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of FEDERALBNK.NS X,Effective Margin of ICICIBANK.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIBANK.NS X,Effective Investment of ICICIBANK.NS Y,Multiplier X,Multiplier Y
02-03-2023,854.0,133.3500061,-1.376125549,-57.53994081,911.5399408,,0.147441951,1,1963.5,19.635,10.09200012,9.542999878,73,6.79398535,133.3999023,679.398535,137.999939,-4.600036621,1009.200012,954.2999878,8.0,1.0
03-03-2023,868.5499878,134.1999969,-1.116456297,-46.55095416,915.100942,,0.131818454,2,2010.800049,20.10800049,9.8175,10.29050049,17,6.30843764,126.8500671,630.843764,114.4500427,12.40002441,981.75,1029.050049,7.0,1.0
06-03-2023,867.75,134.1499939,-1.120815498,-46.69311253,914.4431125,,0.115227294,,,,,10.86900024,,,,,,,1068.200043,1086.900024,7.0,1.0
08-03-2023,872.0999756,135.8999939,-1.202455791,-50.02762905,922.1276046,,0.133889586,,,,,,,,,,,,,,,
09-03-2023,855.9500122,134.1999969,-1.389413988,-57.75539156,913.7054038,,0.144851186,,,,,,,,,,,,,,,
10-03-2023,842.6500244,133.0,-1.563330786,-64.93900752,907.5890319,,0.173036312,,,,,,,,,,,,,,,
13-03-2023,828.4000244,129.5,-1.508702732,-62.58725083,890.9872752,,0.150742777,,,,,,,,,,,,,,,
14-03-2023,830.3499756,127.75,-1.26058862,-52.22028214,882.5702577,,0.150038096,,,,,,,,,,,,,,,
15-03-2023,825.9000244,126.5999985,-1.234075151,-51.04001532,876.9400397,,0.133448174,Individual Breakup,,Lot ICICIBANK.NS Y,Lot  FEDERALBNK.NS X,Total Profit,Total Trade,,,,,,,,,
16-03-2023,823.9000244,127.3000031,-1.351554205,-55.84480196,879.7448264,,0.136642753,Margin of FEDERALBNK.NS X,Margin of ICICIBANK.NS Y,1,-0.550048828,261.8000183,2,,,,,,,,,
17-03-2023,836.25,128.3999939,-1.167053515,-48.10605202,884.356052,,0.133602211,1,1,,,,,,,,,,,,,
20-03-2023,836.4500122,129.1000061,-1.23129739,-50.67754289,887.1275551,,0.171518597,,,,,,,,,,,,,,,
21-03-2023,852.4000244,128.8000031,-0.805233148,-33.04359401,885.4436184,,0.128866661,,,,,,,,,,,,,,,
22-03-2023,860.2000122,129.1000061,-0.643188234,-26.30823794,886.5082502,,0.113501564,,,,,,,,,,,,,,,
23-03-2023,855.4500122,127.0,-0.525212237,-21.42541263,876.8754248,,0.089007345,,,,,,,,,,,,,,,
24-03-2023,852.4000244,126.8499985,-0.579425992,-23.59990693,875.9999313,,0.071930775,,,,,,,,,,,,,,,
27-03-2023,848.7000122,125.4499969,-0.51351096,-20.86870359,869.5687158,,0.068648288,,,,,,,,,,,,,,,
28-03-2023,854.75,125.6999969,-0.389680055,-15.79364414,870.5436441,,0.068020356,,,,,,,,,,,,,,,
29-03-2023,851.0,129.1000061,-0.849673402,-34.30929166,885.3092917,,0.057426286,,,,,,,,,,,,,,,
31-03-2023,877.25,132.3000031,-0.544855472,-21.89050012,899.1405001,,0.050912568,,,,,,,,,,,,,,,
03-04-2023,883.7999878,133.1499939,-0.47014045,-18.80129836,902.6012862,,0.043273411,,,,,,,,,,,,,,,
05-04-2023,884.5999756,128.5500031,0.058163155,2.31752046,882.2824551,,0.059148875,,,,,,,,,,,,,,,
06-04-2023,875.0,127.0500031,-0.014914792,-0.591097647,875.5910976,,0.045404541,,,,,,,,,,,,,,,
10-04-2023,868.4500122,127.0,-0.170008076,-6.700204739,875.1502169,,0.057873727,,,,,,,,,,,,,,,
11-04-2023,881.9000244,128.3000031,0.031262657,1.224323658,880.6757008,,0.057002464,,,,,,,,,,,,,,,
12-04-2023,890.1500244,127.25,0.360780386,14.07626443,876.07376,,0.084369013,,,,,,,,,,,,,,,
13-04-2023,899.0,128.1000061,0.496654889,19.27806394,879.7219361,,0.072403382,,,,,,,,,,,,,,,
17-04-2023,901.2999878,131.3500061,0.199026018,7.691011009,893.6089768,,0.087563715,,,,,,,,,,,,,,,
18-04-2023,896.8499756,131.6499939,0.055833273,2.148293899,894.7016817,,0.094269717,,,,,,,,,,,,,,,
19-04-2023,891.9000244,131.6999969,-0.07393797,-2.838332289,894.7383567,,0.106006039,,,,,,,,,,,,,,,
20-04-2023,894.4000244,132.3000031,-0.070518412,-2.697934043,897.0979585,,0.110333451,,,,,,,,,,,,,,,
21-04-2023,885.6500244,131.0,-0.149961225,-5.7258449,891.3758693,,0.0683193,,,,,,,,,,,,,,,
24-04-2023,904.75,132.1000061,0.229807899,8.755580536,895.9944195,,0.06175544,,,,,,,,,,,,,,,
25-04-2023,913.4500122,133.3999939,0.313695777,11.93473235,901.5152799,,0.055085532,,,,,,,,,,,,,,,
26-04-2023,914.9500122,135.0,0.175952375,6.684336449,908.2656758,,0.057237346,,,,,,,,,,,,,,,
27-04-2023,918.3499756,133.9499969,0.385238004,14.58265083,903.7673248,,0.071727789,,,,,,,,,,,,,,,
28-04-2023,917.6500244,134.9499969,0.258139737,9.729051048,907.9209734,,0.074432937,,,,,,,,,,,,,,,
02-05-2023,922.0999756,136.4499969,0.212149776,7.956261092,914.1437145,,0.071811966,,,,,,,,,,,,,,,
03-05-2023,922.8499756,137.6999969,0.095586049,3.570240996,919.2797346,,0.054734015,,,,,,,,,,,,,,,
04-05-2023,921.7000122,139.3999939,-0.121657928,-4.530121274,926.2301335,,0.036433569,,,,,,,,,,,,,,,
05-05-2023,926.9500122,127.75,1.328826668,49.52926525,877.420747,,0.053720881,,,,,,,,,,,,,,,
08-05-2023,937.9000244,128.6499939,1.516426401,56.49052756,881.4094969,,0.081557094,,,,,,,,,,,,,,,
09-05-2023,934.4000244,128.5500031,1.43135189,53.2144477,881.1855767,,0.076249872,,,,,,,,,,,,,,,
