Dates,AXISBANK.NS Y,IDFCFIRSTB.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of IDFCFIRSTB.NS X,Effective Margin of AXISBANK.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of AXISBANK.NS X,Effective Investment of AXISBANK.NS Y,Multiplier X,Multiplier Y
06-01-2023,939.9000244,59.5,2.328831598,142.7943418,797.1056826,1.0,0.403745217,1,1891.900024,18.91900024,9.52,9.399000244,80,5.872405264,111.1000366,587.2405264,31.20001221,79.90002441,952.0,939.9000244,16.0,1.0
09-01-2023,958.75,59.70000076,2.591280281,159.7818136,798.9681864,,0.46299042,2,1913.099991,19.13099991,9.591999664,9.539000244,64,3.214672978,61.49990845,321.4672978,48.84997559,12.64993286,959.1999664,953.9000244,11.0,1.0
10-01-2023,952.1500244,58.79999924,2.520623935,156.3794048,795.7706197,,0.430233988,,,,,11.04650024,,,,,,,1119.29998,1104.650024,13.0,1.0
11-01-2023,949.75,59.79999924,2.384103807,148.5714008,801.1785992,,0.377543672,,,,,,,,,,,,,,,
12-01-2023,935.5499878,59.59999847,2.149879622,134.4238276,801.1261602,,0.311332509,,,,,,,,,,,,,,,
13-01-2023,934.1500244,60.20000076,2.065040319,129.4186032,804.7314212,,0.29781654,,,,,,,,,,,,,,,
16-01-2023,913.1500244,60.54999924,1.68935666,105.9525676,807.1974568,,0.242535802,,,,,,,,,,,,,,,
17-01-2023,917.7000122,59.20000076,1.845869873,115.9864891,801.7135231,,0.207520543,,,,,,,,,,,,,,,
18-01-2023,924.0,59.29999924,1.922018769,121.0204078,802.9795922,,0.265746563,Individual Breakup,,Lot AXISBANK.NS Y,Lot  IDFCFIRSTB.NS X,Total Profit,Total Trade,,,,,,,,,
19-01-2023,928.7000122,59.40000153,1.973714937,124.3682106,804.3318016,,0.208239803,Margin of IDFCFIRSTB.NS X,Margin of AXISBANK.NS Y,1,26.79999542,146.7999496,2,,,,,,,,,
20-01-2023,930.5499878,59.34999847,1.990457401,125.6651204,804.8848674,,0.254074418,1,1,,,,,,,,,,,,,
23-01-2023,932.7000122,59.29999924,2.01386792,127.2285472,805.471465,,0.371453105,,,,,,,,,,,,,,,
24-01-2023,910.2000122,58.79999924,1.683732115,106.5253572,803.674655,,0.291650597,,,,,,,,,,,,,,,
25-01-2023,892.3499756,56.90000153,1.53883368,97.46558374,794.8843918,,0.367038499,,,,,,,,,,,,,,,
27-01-2023,873.75,55.70000076,1.330611963,84.42444156,789.3255584,,0.332185242,,,,,,,,,,,,,,,
30-01-2023,871.8499756,56.40000153,1.23972956,78.74531803,793.1046576,,0.266305476,,,,,,,,,,,,,,,
31-01-2023,871.5999756,58.20000076,1.090089806,69.29111397,802.3088616,,0.23920523,,,,,,,,,,,,,,,
01-02-2023,857.25,56.5,0.991452797,63.10698193,794.1430181,,0.23678221,,,,,,,,,,,,,,,
02-02-2023,868.4500122,59.59999847,0.920316031,58.56731378,809.8826984,,0.231926024,,,,,,,,,,,,,,,
03-02-2023,882.5999756,58.79999924,1.197172646,76.3063071,806.2936685,,0.255459265,,,,,,,,,,,,,,,
06-02-2023,882.6500244,59.75,1.11600843,71.19761472,811.4524097,,0.243251553,,,,,,,,,,,,,,,
07-02-2023,879.0999756,59.90000153,1.041131199,66.47633717,812.6236384,,0.24557907,,,,,,,,,,,,,,,
08-02-2023,871.75,59.5,0.950574979,60.73880355,811.0111964,,0.254585881,,,,,,,,,,,,,,,
09-02-2023,867.7000122,58.75,0.940455419,60.15121949,807.5487927,,0.248958215,,,,,,,,,,,,,,,
10-02-2023,867.25,58.09999847,0.980361605,62.77407656,804.4759234,,0.253607584,,,,,,,,,,,,,,,
13-02-2023,859.0999756,57.45000076,0.900090336,57.68991041,801.4100652,,0.243130528,,,,,,,,,,,,,,,
14-02-2023,870.75,57.25,1.091385433,70.03290949,800.7170905,,0.220623685,,,,,,,,,,,,,,,
15-02-2023,868.2999878,57.5,1.026642193,65.93249773,802.3674901,,0.182883235,,,,,,,,,,,,,,,
16-02-2023,864.75,57.0,1.0023066,64.34544198,800.404558,,0.17500798,,,,,,,,,,,,,,,
17-02-2023,854.9000244,55.90000153,0.929414459,59.57040872,795.3296157,,0.211746553,,,,,,,,,,,,,,,
20-02-2023,846.75,55.0,0.868365961,55.54663481,791.2033652,,0.23860824,,,,,,,,,,,,,,,
