Dates,IDFCFIRSTB.NS Y,IDFC.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of IDFC.NS X,Effective Margin of IDFCFIRSTB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IDFCFIRSTB.NS X,Effective Investment of IDFCFIRSTB.NS Y,Multiplier X,Multiplier Y
2023-05-18,66.69999694824219,90.8499984741211,0.7821347192747597,4.320842693513853,62.379154254728334,,0.1388384038011313,1.0,188.3000030517578,1.883000030517578,1.055,0.8280000305175781,81.0,6.21348739172682,11.699996948242188,621.3487391726819,20.449996948242188,-8.75,105.5,82.80000305175781,1.0,1.0
2023-05-19,66.80000305175781,90.5500030517578,0.821204501542511,4.512968197976534,62.28703485378128,,0.1894958224037271,,,,,0.8705000305175781,,,,,,,125.8499984741211,87.05000305175781,1.0,1.0
2023-05-22,66.4000015258789,90.8000030517578,0.7219745115803764,3.949351022032048,62.45065050384686,,0.2445557936582449,,,,,,,,,,,,,,,
2023-05-23,66.05000305175781,91.4000015258789,0.6001386892731058,3.2703525223378023,62.77965052942001,,0.2008035217346703,,,,,,,,,,,,,,,
2023-05-24,66.0,91.4499969482422,0.5823777684446025,3.160293330902249,62.83970666909775,,0.1134523726527457,,,,,,,,,,,,,,,
2023-05-25,68.0,94.4499969482422,0.66993675445297,3.610451733326869,64.38954826667313,,0.1436111198879433,,,,,,,,,,,,,,,
2023-05-26,69.8499984741211,95.0999984741211,0.943362955459566,5.058628330689956,64.79137014343114,,0.1817515727695072,,,,,,,,,,,,,,,
2023-05-29,70.1500015258789,96.5,0.8574942034140908,4.574944449316405,65.5750570765625,,0.0693180043653146,Individual Breakup,,Lot IDFCFIRSTB.NS Y,Lot  IDFC.NS X,Total Profit,Total Trade,,,,,,,,,
2023-05-30,71.6500015258789,99.1500015258789,0.8780921693674985,4.646315427443298,67.00368609843561,,0.0644806838386495,Margin of IDFC.NS X,Margin of IDFCFIRSTB.NS Y,1,-0.44998931884765625,13.149986267089844,1,,,,,,,,,
2023-05-31,71.6500015258789,99.1999969482422,0.8628751881016232,4.5318353833752525,67.11816614250365,,0.0878422221188982,1,1,,,,,,,,,,,,,
2023-06-01,72.5999984741211,99.4000015258789,1.0120145576060613,5.281432518413652,67.31856595570744,,0.0728460529882418,,,,,,,,,,,,,,,
2023-06-02,72.9000015258789,98.9000015258789,1.1069011704415566,5.738291766359197,67.16170975951971,,0.0919067498069065,,,,,,,,,,,,,,,
2023-06-05,73.69999694824219,100.0,1.137033978396,5.854980796129908,67.84501615211228,,0.0652587857389602,,,,,,,,,,,,,,,
2023-06-06,73.80000305175781,102.0,0.93983169756896,4.798562869802908,69.0014401819549,,0.0488718373054231,,,,,,,,,,,,,,,
2023-06-07,73.5999984741211,102.5500030517578,0.83221667342588,4.213436522925093,69.386561951196,,0.048728982255621,,,,,,,,,,,,,,,
2023-06-08,72.19999694824219,101.0,0.7083191304491229,3.5590169327594765,68.64098001548271,,0.0543079011706855,,,,,,,,,,,,,,,
2023-06-09,71.69999694824219,101.3499984741211,0.5636372213396414,2.8094084047846053,68.89058854345758,,0.0414417092780487,,,,,,,,,,,,,,,
2023-06-12,72.80000305175781,102.5500030517578,0.6462604802271942,3.1932001913356203,69.60680286042219,,0.050901765514876,,,,,,,,,,,,,,,
2023-06-13,74.80000305175781,104.8000030517578,0.7929704511650296,3.88508281840771,70.9149202333501,,0.0579039777648899,,,,,,,,,,,,,,,
2023-06-14,76.75,103.5,1.3140720872614042,6.401152755510921,70.34884724448908,,0.0665689392599994,,,,,,,,,,,,,,,
2023-06-15,79.0,105.5999984741211,1.5166690213214928,7.33572773171332,71.66427226828668,,0.0626357591150833,,,,,,,,,,,,,,,
2023-06-16,81.69999694824219,108.3000030517578,1.7383770263387517,8.346827351641451,73.35316959660074,,0.0745743306752035,,,,,,,,,,,,,,,
2023-06-19,81.30000305175781,106.9000015258789,1.7857681176774152,8.526526166617927,72.77347688513989,,0.075005642589728,,,,,,,,,,,,,,,
2023-06-20,82.80000305175781,105.5,2.2268726780518744,10.590974346543334,72.20902870521448,1.0,0.166958310152903,,,,,,,,,,,,,,,
2023-06-21,82.19999694824219,102.8000030517578,2.384147289739013,11.320176849630345,70.87982009861184,,0.1402725454689757,,,,,,,,,,,,,,,
2023-06-22,77.5999984741211,99.9000015258789,1.747065453585919,8.247706394047242,69.35229208007385,,0.1136869203294742,,,,,,,,,,,,,,,
2023-06-23,77.75,98.3000030517578,1.9547078702781664,9.196652175975672,68.55334782402433,,0.1745574651085165,,,,,,,,,,,,,,,
2023-06-26,77.75,100.0,1.7277739688915148,8.093897096490196,69.6561029035098,,0.1740760358647262,,,,,,,,,,,,,,,
2023-06-27,78.25,102.0999984741211,1.5535683258763398,7.247737002782557,71.00226299721744,,0.1292511416106086,,,,,,,,,,,,,,,
2023-06-28,79.69999694824219,102.3000030517578,1.814712976918477,8.439318390340901,71.26067855790129,,0.161056021146153,,,,,,,,,,,,,,,
2023-06-30,79.4000015258789,102.6999969482422,1.6768888193736335,7.770041056952849,71.62996046892606,,0.1154677722991427,,,,,,,,,,,,,,,
2023-07-03,81.94999694824219,109.1999969482422,1.3702444659213844,6.302254405332832,75.64774254290936,,0.0817467600578857,,,,,,,,,,,,,,,
2023-07-04,78.6500015258789,111.1999969482422,0.377562535436213,1.7230044298859184,76.92699709599299,,0.0376167341134864,,,,,,,,,,,,,,,
2023-07-05,80.3499984741211,114.3000030517578,0.3261200540455877,1.475321751230311,78.87467672289078,,0.0567233135041844,,,,,,,,,,,,,,,
2023-07-06,80.5,113.6999969482422,0.4239485279436973,1.9068772487714227,78.59312275122858,,0.046050661332819,,,,,,,,,,,,,,,
2023-07-07,79.69999694824219,111.3499984741211,0.5470064968957178,2.446417732045276,77.25357921619691,,0.0739734529062991,,,,,,,,,,,,,,,
2023-07-10,79.25,110.3000030517578,0.5771132072711568,2.5691427468620702,76.68085725313793,,0.0665134773195979,,,,,,,,,,,,,,,
2023-07-11,82.80000305175781,114.8000030517578,0.742252393403032,3.2821262808513296,79.51787677090648,,0.0682553906658394,,,,,,,,,,,,,,,
2023-07-12,83.0999984741211,115.0500030517578,0.7580222930036273,3.334594475739607,79.76540399838149,,0.0508962447516695,,,,,,,,,,,,,,,
2023-07-13,81.3499984741211,112.5999984741211,0.6859762983272443,3.001757618429963,78.34824085569113,,0.0605066430458961,,,,,,,,,,,,,,,
2023-07-14,82.5,113.8499984741211,0.7575995539576842,3.296277344012438,79.20372265598756,,0.0597980790781346,,,,,,,,,,,,,,,
2023-07-17,81.69999694824219,112.4499969482422,0.7566218591048306,3.2760668859277478,78.42393006231444,,0.0744570924874332,,,,,,,,,,,,,,,
2023-07-18,81.0999984741211,111.1500015258789,0.7884820894903416,3.400375928470993,77.6996225456501,,0.1460898269385249,,,,,,,,,,,,,,,
2023-07-19,81.80000305175781,112.3499984741211,0.7649177003178308,3.291237675807963,78.50876537594985,,0.1627235919643325,,,,,,,,,,,,,,,
2023-07-20,81.4000015258789,112.0999984741211,0.6965218326219768,2.9928709563226192,78.40713056955629,,0.1344817939226366,,,,,,,,,,,,,,,
2023-07-21,82.8499984741211,113.3499984741211,0.8372046506316027,3.5889650382347043,79.26103343588639,,0.15187017979696,,,,,,,,,,,,,,,
2023-07-24,83.69999694824219,113.75,0.959970582609783,4.109240846162237,79.59075610207995,,0.1617210020657784,,,,,,,,,,,,,,,
2023-07-25,83.05000305175781,113.9499969482422,0.7651282323259505,3.269915765121993,79.78008728663582,,0.1269334776365456,,,,,,,,,,,,,,,
2023-07-26,84.6500015258789,116.1999969482422,0.792957060956573,3.3790062771367246,81.27099524874218,,0.1203391930633512,,,,,,,,,,,,,,,
2023-07-27,82.55000305175781,113.5500030517578,0.682033696777433,2.901291330940396,79.64871172081742,,0.1054547214742879,,,,,,,,,,,,,,,
2023-07-28,83.94999694824219,115.5999984741211,0.6931101194514618,2.9380748137785844,81.0119221344636,,0.0867187454427514,,,,,,,,,,,,,,,
